"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.COW-CT-98.A&columnchart=ELEC.GEN.COW-CT-98.A&map=ELEC.GEN.COW-CT-98.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Fri Aug 18 2017 17:48:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Rhode Island : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-RI-98.A",11,12,11,37,71,98,24
"Rhode Island : petroleum coke","thousand megawatthours","ELEC.GEN.PC-RI-98.A","--","--","--","--","--","--","--"
"Rhode Island : natural gas","thousand megawatthours","ELEC.GEN.NG-RI-98.A",7552,8525,8140,6099,5920,6536,6245
"Rhode Island : other gases","thousand megawatthours","ELEC.GEN.OOG-RI-98.A","--","--","--","--","--","--","--"
"Rhode Island : nuclear","thousand megawatthours","ELEC.GEN.NUC-RI-98.A","--","--","--","--","--","--","--"
"Rhode Island : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-RI-98.A",4,7,4,4,4,3,"NM"
"Rhode Island : other renewables",,"ELEC.GEN.AOR-RI-98.A",,,,,,,
"Rhode Island : wind","thousand megawatthours","ELEC.GEN.WND-RI-98.A",3,3,1,3,2,3,25
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-98.A","--","--","--",2,10,14,19
"Rhode Island : geothermal","thousand megawatthours","ELEC.GEN.GEO-RI-98.A","--","--","--","--","--","--","--"
"Rhode Island : biomass","thousand megawatthours","ELEC.GEN.BIO-RI-98.A",137,127,101,48,207,211,205
"Rhode Island : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-RI-98.A","--","--","--","--","--","--","--"
"Rhode Island : other","thousand megawatthours","ELEC.GEN.OTH-RI-98.A","--","--","--","--","--","--","--"
"Rhode Island : all solar",,"ELEC.GEN.TSN-RI-98.A",,,,,,,
"Rhode Island : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-RI-98.A","--","--","--","--","--","--","--"
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-98.A","--","--","--",2,10,14,19
"Vermont",,"ELEC.GEN..A",,,,,,,
"Vermont : all fuels (utility-scale)",,"ELEC.GEN.ALL-VT-98.A",,,,,,,
"Vermont : coal","thousand megawatthours","ELEC.GEN.COW-VT-98.A","--","--","--","--","--","--","--"
"Vermont : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VT-98.A",5,6,2,4,4,2,"NM"
"Vermont : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VT-98.A","--","--","--","--","--","--","--"
"Vermont : natural gas","thousand megawatthours","ELEC.GEN.NG-VT-98.A",4,3,3,3,2,1,1
"Vermont : other gases","thousand megawatthours","ELEC.GEN.OOG-VT-98.A","--","--","--","--","--","--","--"
"Vermont : nuclear","thousand megawatthours","ELEC.GEN.NUC-VT-98.A",4782,4907,4989,4846,5061,"--","--"
"Vermont : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VT-98.A",1322,1401,1128,1286,1175,1139,1056
"Vermont : other renewables",,"ELEC.GEN.AOR-VT-98.A",,,,,,,
"Vermont : wind","thousand megawatthours","ELEC.GEN.WND-VT-98.A",14,33,107,236,311,325,293
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-98.A","--",2,5,17,24,48,76
"Vermont : geothermal","thousand megawatthours","ELEC.GEN.GEO-VT-98.A","--","--","--","--","--","--","--"
"Vermont : biomass","thousand megawatthours","ELEC.GEN.BIO-VT-98.A",468,396,351,489,450,463,471
"Vermont : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VT-98.A","--","--","--","--","--","--","--"
"Vermont : other","thousand megawatthours","ELEC.GEN.OTH-VT-98.A","--","--","--","--","--","--",0
"Vermont : all solar",,"ELEC.GEN.TSN-VT-98.A",,,,,,,
"Vermont : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-VT-98.A","--","--","--","--","--","--","--"
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-98.A","--",2,5,17,24,48,76
"Middle Atlantic",,"ELEC.GEN..A",,,,,,,
"New Jersey",,"ELEC.GEN..A",,,,,,,
"New Jersey : all fuels (utility-scale)",,"ELEC.GEN.ALL-NJ-98.A",,,,,,,
"New Jersey : coal","thousand megawatthours","ELEC.GEN.COW-NJ-98.A",6418,4155,1897,2022,2519,1759,1315
"New Jersey : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NJ-98.A",232,105,28,100,464,298,88
"New Jersey : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NJ-98.A","--","--","--","--","--","--","--"
"New Jersey : natural gas","thousand megawatthours","ELEC.GEN.NG-NJ-98.A",24261,24587,27611,26487,30833,36428,43107
"New Jersey : other gases","thousand megawatthours","ELEC.GEN.OOG-NJ-98.A","--","--","--","--","--","--","--"
"New Jersey : nuclear","thousand megawatthours","ELEC.GEN.NUC-NJ-98.A",32771,33606,33110,33380,31507,33262,29885
"New Jersey : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NJ-98.A",18,24,11,18,17,10,"NM"
"New Jersey : other renewables",,"ELEC.GEN.AOR-NJ-98.A",,,,,,,
"New Jersey : wind","thousand megawatthours","ELEC.GEN.WND-NJ-98.A",13,11,12,11,23,22,22
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-98.A",21,60,266,353,406,494,875
"New Jersey : geothermal","thousand megawatthours","ELEC.GEN.GEO-NJ-98.A","--","--","--","--","--","--","--"
"New Jersey : biomass","thousand megawatthours","ELEC.GEN.BIO-NJ-98.A",651,639,808,841,829,774,796
"New Jersey : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NJ-98.A",-194,-197,-166,-202,-237,-170,-204
"New Jersey : other","thousand megawatthours","ELEC.GEN.OTH-NJ-98.A",350,383,378,386,395,371,403
"New Jersey : all solar",,"ELEC.GEN.TSN-NJ-98.A",,,,,,,
"New Jersey : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NJ-98.A","--","--","--","--","--","--","--"
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-98.A",21,60,266,353,406,494,875
"New York",,"ELEC.GEN..A",,,,,,,
"New York : all fuels (utility-scale)",,"ELEC.GEN.ALL-NY-98.A",,,,,,,
"New York : coal","thousand megawatthours","ELEC.GEN.COW-NY-98.A",13212,9062,4236,4390,4283,2075,1437
"New York : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NY-98.A",1373,820,489,913,1977,1776,587
"New York : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NY-98.A",515,263,0,0,0,0,0
"New York : natural gas","thousand megawatthours","ELEC.GEN.NG-NY-98.A",48106,50061,58604,53402,53464,55873,55660
"New York : other gases","thousand megawatthours","ELEC.GEN.OOG-NY-98.A","--","--","--","--","--","--","--"
"New York : nuclear","thousand megawatthours","ELEC.GEN.NUC-NY-98.A",41870,42695,40775,44756,43039,44603,41571
"New York : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NY-98.A",25411,27917,24588,24906,26016,25948,26544
"New York : other renewables",,"ELEC.GEN.AOR-NY-98.A",,,,,,,
"New York : wind","thousand megawatthours","ELEC.GEN.WND-NY-98.A",2596,2828,2988,3536,3966,3974,3942
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-98.A","--",6,53,67,71,98,171
"New York : geothermal","thousand megawatthours","ELEC.GEN.GEO-NY-98.A","--","--","--","--","--","--","--"
"New York : biomass","thousand megawatthours","ELEC.GEN.BIO-NY-98.A",1851,1725,1687,1826,1937,1814,1879
"New York : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NY-98.A",-529,-433,-413,-443,-491,-423,-471
"New York : other","thousand megawatthours","ELEC.GEN.OTH-NY-98.A",744,799,757,692,737,721,699
"New York : all solar",,"ELEC.GEN.TSN-NY-98.A",,,,,,,
"New York : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NY-98.A","--","--","--","--","--","--","--"
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-98.A","--",6,53,67,71,98,171
"Pennsylvania",,"ELEC.GEN..A",,,,,,,
"Pennsylvania : all fuels (utility-scale)",,"ELEC.GEN.ALL-PA-98.A",,,,,,,
"Pennsylvania : coal","thousand megawatthours","ELEC.GEN.COW-PA-98.A",109320,99761,86769,87959,78442,64156,54054
"Pennsylvania : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-PA-98.A",559,414,245,292,631,555,252
"Pennsylvania : petroleum coke","thousand megawatthours","ELEC.GEN.PC-PA-98.A",0,0,0,0,0,0,0
"Pennsylvania : natural gas","thousand megawatthours","ELEC.GEN.NG-PA-98.A",33102,41031,52185,48762,51647,58131,66536
"Pennsylvania : other gases","thousand megawatthours","ELEC.GEN.OOG-PA-98.A",54,41,0,"--",0,0,"NM"
"Pennsylvania : nuclear","thousand megawatthours","ELEC.GEN.NUC-PA-98.A",77828,76147,75174,78714,78715,80517,82924
"Pennsylvania : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-PA-98.A",2332,3217,2242,2525,2641,2604,2376
"Pennsylvania : other renewables",,"ELEC.GEN.AOR-PA-98.A",,,,,,,
"Pennsylvania : wind","thousand megawatthours","ELEC.GEN.WND-PA-98.A",1854,1794,2129,3352,3565,3353,3472
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-98.A",7,18,26,55,50,52,67
"Pennsylvania : geothermal","thousand megawatthours","ELEC.GEN.GEO-PA-98.A","--","--","--","--","--","--","--"
"Pennsylvania : biomass","thousand megawatthours","ELEC.GEN.BIO-PA-98.A",1800,1704,1699,1697,1686,1709,"NM"
"Pennsylvania : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-PA-98.A",-708,-494,-443,-539,-579,-509,-562
"Pennsylvania : other","thousand megawatthours","ELEC.GEN.OTH-PA-98.A",758,792,789,737,801,796,823
"Pennsylvania : all solar",,"ELEC.GEN.TSN-PA-98.A",,,,,,,
"Pennsylvania : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-PA-98.A","--","--","--","--","--","--","--"
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-98.A",7,18,26,55,50,52,67
"East North Central",,"ELEC.GEN..A",,,,,,,
