"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.COW-CT-98.A&columnchart=ELEC.GEN.COW-CT-98.A&map=ELEC.GEN.COW-CT-98.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Fri Aug 18 2017 17:48:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Georgia : wind","thousand megawatthours","ELEC.GEN.WND-GA-98.A","--","--","--","--","--","--","--"
"Georgia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-GA-98.A","--","--","NM",11,116,126,903
"Georgia : geothermal","thousand megawatthours","ELEC.GEN.GEO-GA-98.A","--","--","--","--","--","--","--"
"Georgia : biomass","thousand megawatthours","ELEC.GEN.BIO-GA-98.A",151,165,218,501,624,679,701
"Georgia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-GA-98.A",-278,-734,-838,-427,-781,-815,-993
"Georgia : other","thousand megawatthours","ELEC.GEN.OTH-GA-98.A",0,"--","--","--","--","--",0
"Georgia : all solar",,"ELEC.GEN.TSN-GA-98.A",,,,,,,
"Georgia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-GA-98.A","--","--","--","--","--","--","--"
"Georgia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-GA-98.A","--","--","NM",11,116,126,903
"Maryland",,"ELEC.GEN..A",,,,,,,
"Maryland : all fuels (utility-scale)",,"ELEC.GEN.ALL-MD-98.A",,,,,,,
"Maryland : coal","thousand megawatthours","ELEC.GEN.COW-MD-98.A",23435,20860,16005,15395,17444,13810,13751
"Maryland : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MD-98.A",313,226,114,170,439,214,172
"Maryland : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MD-98.A","--","--","--","--","--","--","--"
"Maryland : natural gas","thousand megawatthours","ELEC.GEN.NG-MD-98.A",2839,2022,4658,2445,2089,4031,4888
"Maryland : other gases","thousand megawatthours","ELEC.GEN.OOG-MD-98.A",215,"--","--","--","--","--","--"
"Maryland : nuclear","thousand megawatthours","ELEC.GEN.NUC-MD-98.A",13994,14397,13579,14264,14343,14643,14760
"Maryland : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MD-98.A",1667,2547,1657,1727,1616,1623,1397
"Maryland : other renewables",,"ELEC.GEN.AOR-MD-98.A",,,,,,,
"Maryland : wind","thousand megawatthours","ELEC.GEN.WND-MD-98.A",1,271,322,322,324,435,527
"Maryland : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MD-98.A",0,3,21,60,95,112,257
"Maryland : geothermal","thousand megawatthours","ELEC.GEN.GEO-MD-98.A","--","--","--","--","--","--","--"
"Maryland : biomass","thousand megawatthours","ELEC.GEN.BIO-MD-98.A",384,343,378,401,408,400,410
"Maryland : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MD-98.A","--","--","--","--","--","--","--"
"Maryland : other","thousand megawatthours","ELEC.GEN.OTH-MD-98.A",270,298,296,302,313,318,324
"Maryland : all solar",,"ELEC.GEN.TSN-MD-98.A",,,,,,,
"Maryland : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MD-98.A","--","--","--","--","--","--","--"
"Maryland : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MD-98.A",0,3,21,60,95,112,257
"North Carolina",,"ELEC.GEN..A",,,,,,,
"North Carolina : all fuels (utility-scale)",,"ELEC.GEN.ALL-NC-98.A",,,,,,,
"North Carolina : coal","thousand megawatthours","ELEC.GEN.COW-NC-98.A",71516,59406,50633,46751,48910,39686,37336
"North Carolina : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NC-98.A",251,191,166,207,444,421,277
"North Carolina : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NC-98.A","--","--","--","--","--",0,0
"North Carolina : natural gas","thousand megawatthours","ELEC.GEN.NG-NC-98.A",8399,11095,19224,27886,28643,36361,39182
"North Carolina : other gases","thousand megawatthours","ELEC.GEN.OOG-NC-98.A",0,"--","--","--","--","--","--"
"North Carolina : nuclear","thousand megawatthours","ELEC.GEN.NUC-NC-98.A",40740,40527,39386,40242,40967,42097,42786
"North Carolina : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NC-98.A",4743,3882,3342,6005,4742,4731,4512
"North Carolina : other renewables",,"ELEC.GEN.AOR-NC-98.A",,,,,,,
"North Carolina : wind","thousand megawatthours","ELEC.GEN.WND-NC-98.A","--","--","--","--","--","--",6
"North Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NC-98.A",11,17,138,297,652,1296,3732
"North Carolina : geothermal","thousand megawatthours","ELEC.GEN.GEO-NC-98.A","--","--","--","--","--","--","--"
"North Carolina : biomass","thousand megawatthours","ELEC.GEN.BIO-NC-98.A",766,978,1227,1221,1331,1186,1137
"North Carolina : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NC-98.A",0,0,0,0,78,0,0
"North Carolina : other","thousand megawatthours","ELEC.GEN.OTH-NC-98.A",28,106,141,229,313,386,401
"North Carolina : all solar",,"ELEC.GEN.TSN-NC-98.A",,,,,,,
"North Carolina : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NC-98.A","--","--","--","--","--","--","--"
"North Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NC-98.A",11,17,138,297,652,1296,3732
"South Carolina",,"ELEC.GEN..A",,,,,,,
"South Carolina : all fuels (utility-scale)",,"ELEC.GEN.ALL-SC-98.A",,,,,,,
"South Carolina : coal","thousand megawatthours","ELEC.GEN.COW-SC-98.A",37466,33906,28235,24248,28748,22488,20900
"South Carolina : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-SC-98.A",150,101,100,94,236,178,100
"South Carolina : petroleum coke","thousand megawatthours","ELEC.GEN.PC-SC-98.A",28,0,0,0,0,0,0
"South Carolina : natural gas","thousand megawatthours","ELEC.GEN.NG-SC-98.A",10916,12915,14241,11771,11373,16510,16076
"South Carolina : other gases","thousand megawatthours","ELEC.GEN.OOG-SC-98.A","--","--","--","--","--","--","--"
"South Carolina : nuclear","thousand megawatthours","ELEC.GEN.NUC-SC-98.A",51988,52903,51145,54252,52419,53156,55826
"South Carolina : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-SC-98.A",2375,1554,1420,3156,2566,2562,2397
"South Carolina : other renewables",,"ELEC.GEN.AOR-SC-98.A",,,,,,,
"South Carolina : wind","thousand megawatthours","ELEC.GEN.WND-SC-98.A","--","--","--","--","--","--","--"
"South Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SC-98.A","--","--","--",0,5,4,5
"South Carolina : geothermal","thousand megawatthours","ELEC.GEN.GEO-SC-98.A","--","--","--","--","--","--","--"
"South Carolina : biomass","thousand megawatthours","ELEC.GEN.BIO-SC-98.A",425,432,498,524,791,843,830
"South Carolina : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-SC-98.A",-935,-890,-896,-795,-884,-904,-977
"South Carolina : other","thousand megawatthours","ELEC.GEN.OTH-SC-98.A","--",0,48,5,5,4,6
"South Carolina : all solar",,"ELEC.GEN.TSN-SC-98.A",,,,,,,
"South Carolina : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-SC-98.A","--","--","--","--","--","--","--"
"South Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SC-98.A","--","--","--",0,5,4,5
"Virginia",,"ELEC.GEN..A",,,,,,,
"Virginia : all fuels (utility-scale)",,"ELEC.GEN.ALL-VA-98.A",,,,,,,
"Virginia : coal","thousand megawatthours","ELEC.GEN.COW-VA-98.A",24732,19202,13543,20626,20340,16901,16238
"Virginia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VA-98.A",1231,464,334,286,1194,1100,530
"Virginia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VA-98.A","--","--","--","--","--","--","--"
"Virginia : natural gas","thousand megawatthours","ELEC.GEN.NG-VA-98.A",16915,18238,24820,22403,20577,32747,40114
"Virginia : other gases","thousand megawatthours","ELEC.GEN.OOG-VA-98.A","--","--","--","--","--","--","--"
"Virginia : nuclear","thousand megawatthours","ELEC.GEN.NUC-VA-98.A",26572,25548,28723,29326,30221,28060,29732
"Virginia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VA-98.A",1488,1199,1032,1248,945,1146,1514
"Virginia : other renewables",,"ELEC.GEN.AOR-VA-98.A",,,,,,,
"Virginia : wind","thousand megawatthours","ELEC.GEN.WND-VA-98.A","--","--","--","--","--","--","--"
"Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VA-98.A","--","--","--","--","--","--",22
"Virginia : geothermal","thousand megawatthours","ELEC.GEN.GEO-VA-98.A","--","--","--","--","--","--","--"
"Virginia : biomass","thousand megawatthours","ELEC.GEN.BIO-VA-98.A",1037,1004,1127,1427,2187,2318,2362
"Virginia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VA-98.A",-1491,-1470,-1366,-1189,-1295,-1036,-1163
"Virginia : other","thousand megawatthours","ELEC.GEN.OTH-VA-98.A",266,293,284,265,287,253,257
"Virginia : all solar",,"ELEC.GEN.TSN-VA-98.A",,,,,,,
"Virginia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-VA-98.A","--","--","--","--","--","--","--"
"Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VA-98.A","--","--","--","--","--","--",22
"West Virginia",,"ELEC.GEN..A",,,,,,,
"West Virginia : all fuels (utility-scale)",,"ELEC.GEN.ALL-WV-98.A",,,,,,,
"West Virginia : coal","thousand megawatthours","ELEC.GEN.COW-WV-98.A",77771,75523,69854,71837,76941,67516,71300
"West Virginia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WV-98.A",155,188,143,150,163,140,123
"West Virginia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WV-98.A",0,0,0,0,0,0,0
"West Virginia : natural gas","thousand megawatthours","ELEC.GEN.NG-WV-98.A",131,246,228,270,653,1304,983
"West Virginia : other gases","thousand megawatthours","ELEC.GEN.OOG-WV-98.A","--","--","--","--","--","--","--"
"West Virginia : nuclear","thousand megawatthours","ELEC.GEN.NUC-WV-98.A","--","--","--","--","--","--","--"
"West Virginia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WV-98.A",869,894,884,1080,713,832,915
"West Virginia : other renewables",,"ELEC.GEN.AOR-WV-98.A",,,,,,,
"West Virginia : wind","thousand megawatthours","ELEC.GEN.WND-WV-98.A",939,1103,1286,1387,1451,1376,1432
"West Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WV-98.A","--","--","--","--","--","--","--"
"West Virginia : geothermal","thousand megawatthours","ELEC.GEN.GEO-WV-98.A","--","--","--","--","--","--","--"
"West Virginia : biomass","thousand megawatthours","ELEC.GEN.BIO-WV-98.A",0,9,11,4,5,5,5
"West Virginia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WV-98.A","--","--","--","--","--","--","--"
"West Virginia : other","thousand megawatthours","ELEC.GEN.OTH-WV-98.A",0,0,0,0,0,0,-7
"West Virginia : all solar",,"ELEC.GEN.TSN-WV-98.A",,,,,,,
"West Virginia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WV-98.A","--","--","--","--","--","--","--"
"West Virginia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WV-98.A","--","--","--","--","--","--","--"
"East South Central",,"ELEC.GEN..A",,,,,,,
"Alabama",,"ELEC.GEN..A",,,,,,,
"Alabama : all fuels (utility-scale)",,"ELEC.GEN.ALL-AL-98.A",,,,,,,
"Alabama : coal","thousand megawatthours","ELEC.GEN.COW-AL-98.A",62615,56597,45410,46860,47170,41311,34208
"Alabama : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AL-98.A",114,101,75,59,82,63,31
"Alabama : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AL-98.A","--",0,"--","--","--","--","--"
"Alabama : natural gas","thousand megawatthours","ELEC.GEN.NG-AL-98.A",38298,46863,54679,45593,47295,54817,56708
"Alabama : other gases","thousand megawatthours","ELEC.GEN.OOG-AL-98.A","--","--","--","--","--","--","--"
"Alabama : nuclear","thousand megawatthours","ELEC.GEN.NUC-AL-98.A",37941,39356,40841,40816,41244,41951,39902
"Alabama : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AL-98.A",8704,8884,7435,12899,9467,9862,7721
"Alabama : other renewables",,"ELEC.GEN.AOR-AL-98.A",,,,,,,
"Alabama : wind","thousand megawatthours","ELEC.GEN.WND-AL-98.A","--","--","--","--","--","--","--"
"Alabama : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AL-98.A","--","--","--","--","--","--",31
"Alabama : geothermal","thousand megawatthours","ELEC.GEN.GEO-AL-98.A","--","--","--","--","--","--","--"
"Alabama : biomass","thousand megawatthours","ELEC.GEN.BIO-AL-98.A",261,232,191,199,245,256,273
"Alabama : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AL-98.A","--","--","--","--","--","--","--"
"Alabama : other","thousand megawatthours","ELEC.GEN.OTH-AL-98.A","--",0,"--","--","--","--","--"
"Alabama : all solar",,"ELEC.GEN.TSN-AL-98.A",,,,,,,
"Alabama : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-AL-98.A","--","--","--","--","--","--","--"
"Alabama : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AL-98.A","--","--","--","--","--","--",31
"Kentucky",,"ELEC.GEN..A",,,,,,,
"Kentucky : all fuels (utility-scale)",,"ELEC.GEN.ALL-KY-98.A",,,,,,,
"Kentucky : coal","thousand megawatthours","ELEC.GEN.COW-KY-98.A",91054,91656,82762,83303,83602,72620,66889
"Kentucky : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-KY-98.A",123,139,107,107,120,113,106
"Kentucky : petroleum coke","thousand megawatthours","ELEC.GEN.PC-KY-98.A",2162,1596,1429,1302,1033,964,1130
"Kentucky : natural gas","thousand megawatthours","ELEC.GEN.NG-KY-98.A",1617,1308,2718,1214,2255,5709,8028
"Kentucky : other gases","thousand megawatthours","ELEC.GEN.OOG-KY-98.A",3,"--","--","--","--","--","--"
"Kentucky : nuclear","thousand megawatthours","ELEC.GEN.NUC-KY-98.A","--","--","--","--","--","--","--"
"Kentucky : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-KY-98.A",2580,2969,2362,3275,3144,3403,3450
"Kentucky : other renewables",,"ELEC.GEN.AOR-KY-98.A",,,,,,,
"Kentucky : wind","thousand megawatthours","ELEC.GEN.WND-KY-98.A","--","--","--","--","--","--","--"
"Kentucky : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KY-98.A","--","--","--","--","--","--",12
"Kentucky : geothermal","thousand megawatthours","ELEC.GEN.GEO-KY-98.A","--","--","--","--","--","--","--"
"Kentucky : biomass","thousand megawatthours","ELEC.GEN.BIO-KY-98.A",89,95,95,98,94,92,94
"Kentucky : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-KY-98.A","--","--","--","--","--","--","--"
"Kentucky : other","thousand megawatthours","ELEC.GEN.OTH-KY-98.A",15,9,8,9,50,52,50
"Kentucky : all solar",,"ELEC.GEN.TSN-KY-98.A",,,,,,,
"Kentucky : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-KY-98.A","--","--","--","--","--","--","--"
"Kentucky : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KY-98.A","--","--","--","--","--","--",12
"Mississippi",,"ELEC.GEN..A",,,,,,,
"Mississippi : all fuels (utility-scale)",,"ELEC.GEN.ALL-MS-98.A",,,,,,,
"Mississippi : coal","thousand megawatthours","ELEC.GEN.COW-MS-98.A",13629,9723,7212,8701,10743,6400,5342
"Mississippi : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MS-98.A",77,33,13,11,13,12,15
"Mississippi : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MS-98.A","--","--","--","--","--","--","--"
"Mississippi : natural gas","thousand megawatthours","ELEC.GEN.NG-MS-98.A",29269,29622,37058,30404,32254,44698,49721
"Mississippi : other gases","thousand megawatthours","ELEC.GEN.OOG-MS-98.A","--","--","--","--","--","--","--"
"Mississippi : nuclear","thousand megawatthours","ELEC.GEN.NUC-MS-98.A",9643,10337,7296,10865,10252,11715,5897
"Mississippi : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MS-98.A","--","--","--","--","--","--","--"
"Mississippi : other renewables",,"ELEC.GEN.AOR-MS-98.A",,,,,,,
"Mississippi : wind","thousand megawatthours","ELEC.GEN.WND-MS-98.A","--","--","--","--","--","--","--"
"Mississippi : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MS-98.A","--","--","--","--","--","--","NM"
"Mississippi : geothermal","thousand megawatthours","ELEC.GEN.GEO-MS-98.A","--","--","--","--","--","--","--"
"Mississippi : biomass","thousand megawatthours","ELEC.GEN.BIO-MS-98.A",2,0,3,13,14,13,13
"Mississippi : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MS-98.A","--","--","--","--","--","--","--"
"Mississippi : other","thousand megawatthours","ELEC.GEN.OTH-MS-98.A",1,"--","--","--","--","--","--"
"Mississippi : all solar",,"ELEC.GEN.TSN-MS-98.A",,,,,,,
"Mississippi : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MS-98.A","--","--","--","--","--","--","--"
"Mississippi : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MS-98.A","--","--","--","--","--","--","NM"
"Tennessee",,"ELEC.GEN..A",,,,,,,
"Tennessee : all fuels (utility-scale)",,"ELEC.GEN.ALL-TN-98.A",,,,,,,
"Tennessee : coal","thousand megawatthours","ELEC.GEN.COW-TN-98.A",42260,39430,34249,31264,34776,29584,30293
"Tennessee : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-TN-98.A",212,193,144,129,183,133,119
"Tennessee : petroleum coke","thousand megawatthours","ELEC.GEN.PC-TN-98.A","--","--","--","--","--","--","--"
"Tennessee : natural gas","thousand megawatthours","ELEC.GEN.NG-TN-98.A",2189,3083,7892,4775,5955,8947,10777
"Tennessee : other gases","thousand megawatthours","ELEC.GEN.OOG-TN-98.A","--","--","--","--","--","--","--"
"Tennessee : nuclear","thousand megawatthours","ELEC.GEN.NUC-TN-98.A",27739,26919,25102,28494,27670,24960,29578
"Tennessee : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-TN-98.A",8138,9576,7673,11369,8901,9581,7418
"Tennessee : other renewables",,"ELEC.GEN.AOR-TN-98.A",,,,,,,
"Tennessee : wind","thousand megawatthours","ELEC.GEN.WND-TN-98.A",41,53,47,47,51,46,38
"Tennessee : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TN-98.A","--","--",10,18,25,73,84
"Tennessee : geothermal","thousand megawatthours","ELEC.GEN.GEO-TN-98.A","--","--","--","--","--","--","--"
"Tennessee : biomass","thousand megawatthours","ELEC.GEN.BIO-TN-98.A",23,28,57,79,84,76,77
"Tennessee : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-TN-98.A",-721,-660,-163,-42,-491,-531,-704
"Tennessee : other","thousand megawatthours","ELEC.GEN.OTH-TN-98.A","--","--","--","--","--","--","--"
"Tennessee : all solar",,"ELEC.GEN.TSN-TN-98.A",,,,,,,
"Tennessee : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-TN-98.A","--","--","--","--","--","--","--"
"Tennessee : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TN-98.A","--","--",10,18,25,73,84
"West South Central",,"ELEC.GEN..A",,,,,,,
"Arkansas",,"ELEC.GEN..A",,,,,,,
"Arkansas : all fuels (utility-scale)",,"ELEC.GEN.ALL-AR-98.A",,,,,,,
"Arkansas : coal","thousand megawatthours","ELEC.GEN.COW-AR-98.A",28041,29317,28332,31803,33164,21683,23750
"Arkansas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AR-98.A",42,53,31,40,26,52,39
"Arkansas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AR-98.A","--","--","--","--","--","--","--"
"Arkansas : natural gas","thousand megawatthours","ELEC.GEN.NG-AR-98.A",12244,12739,16895,11874,9332,14544,17963
"Arkansas : other gases","thousand megawatthours","ELEC.GEN.OOG-AR-98.A","--","--","--","--","--","--","--"
"Arkansas : nuclear","thousand megawatthours","ELEC.GEN.NUC-AR-98.A",15023,14194,15493,11945,14478,13838,13421
"Arkansas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AR-98.A",3659,2958,2198,2655,2640,3569,3418
"Arkansas : other renewables",,"ELEC.GEN.AOR-AR-98.A",,,,,,,
"Arkansas : wind","thousand megawatthours","ELEC.GEN.WND-AR-98.A","--","--","--","--","--","--","--"
"Arkansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AR-98.A","--","--","--","--","--",1,30
"Arkansas : geothermal","thousand megawatthours","ELEC.GEN.GEO-AR-98.A","--","--","--","--","--","--","--"
"Arkansas : biomass","thousand megawatthours","ELEC.GEN.BIO-AR-98.A",52,76,65,100,98,85,100
"Arkansas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AR-98.A",-1,34,42,31,67,32,39
"Arkansas : other","thousand megawatthours","ELEC.GEN.OTH-AR-98.A","--","--","--","--","--","--","--"
"Arkansas : all solar",,"ELEC.GEN.TSN-AR-98.A",,,,,,,
"Arkansas : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-AR-98.A","--","--","--","--","--","--","--"
"Arkansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AR-98.A","--","--","--","--","--",1,30
"Louisiana",,"ELEC.GEN..A",,,,,,,
"Louisiana : all fuels (utility-scale)",,"ELEC.GEN.ALL-LA-98.A",,,,,,,
"Louisiana : coal","thousand megawatthours","ELEC.GEN.COW-LA-98.A",23924,24609,21421,20844,19221,15165,12014
"Louisiana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-LA-98.A",96,42,29,39,42,78,15
"Louisiana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-LA-98.A",2813,4355,2691,4465,4779,3957,4569
"Louisiana : natural gas","thousand megawatthours","ELEC.GEN.NG-LA-98.A",27639,30129,34567,27540,30144,41284,39881
"Louisiana : other gases","thousand megawatthours","ELEC.GEN.OOG-LA-98.A",251,255,266,725,824,"--","--"
"Louisiana : nuclear","thousand megawatthours","ELEC.GEN.NUC-LA-98.A",18639,16615,15659,16954,17311,15301,17152
"Louisiana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-LA-98.A",1109,1044,680,1045,1090,999,1103
"Louisiana : other renewables",,"ELEC.GEN.AOR-LA-98.A",,,,,,,
"Louisiana : wind","thousand megawatthours","ELEC.GEN.WND-LA-98.A","--","--","--","--","--","--","--"
"Louisiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-LA-98.A","--","--","--","--","--","--","--"
"Louisiana : geothermal","thousand megawatthours","ELEC.GEN.GEO-LA-98.A","--","--","--","--","--","--","--"
"Louisiana : biomass","thousand megawatthours","ELEC.GEN.BIO-LA-98.A",73,70,60,73,85,89,95
"Louisiana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-LA-98.A","--","--","--","--","--","--","--"
"Louisiana : other","thousand megawatthours","ELEC.GEN.OTH-LA-98.A","--","--","--","--","--","--","--"
"Louisiana : all solar",,"ELEC.GEN.TSN-LA-98.A",,,,,,,
"Louisiana : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-LA-98.A","--","--","--","--","--","--","--"
"Louisiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-LA-98.A","--","--","--","--","--","--","--"
"Oklahoma",,"ELEC.GEN..A",,,,,,,
"Oklahoma : all fuels (utility-scale)",,"ELEC.GEN.ALL-OK-98.A",,,,,,,
"Oklahoma : coal","thousand megawatthours","ELEC.GEN.COW-OK-98.A",31065,34086,28925,29619,29520,24494,18791
"Oklahoma : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OK-98.A",13,15,11,9,12,9,17
"Oklahoma : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OK-98.A","--","--","--","--","--","--","--"
"Oklahoma : natural gas","thousand megawatthours","ELEC.GEN.NG-OK-98.A",33807,32725,38910,30029,26507,34106,36189
"Oklahoma : other gases","thousand megawatthours","ELEC.GEN.OOG-OK-98.A","--","--","--","--","--","--","--"
"Oklahoma : nuclear","thousand megawatthours","ELEC.GEN.NUC-OK-98.A","--","--","--","--","--","--","--"
"Oklahoma : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OK-98.A",2809,1507,1146,2178,1428,2664,2382
"Oklahoma : other renewables",,"ELEC.GEN.AOR-OK-98.A",,,,,,,
"Oklahoma : wind","thousand megawatthours","ELEC.GEN.WND-OK-98.A",3808,5605,8158,11162,11937,14031,19913
"Oklahoma : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OK-98.A","--","--","--","--","--",2,5
"Oklahoma : geothermal","thousand megawatthours","ELEC.GEN.GEO-OK-98.A","--","--","--","--","--","--","--"
"Oklahoma : biomass","thousand megawatthours","ELEC.GEN.BIO-OK-98.A",0,0,0,18,16,13,13
"Oklahoma : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OK-98.A",-153,-153,-117,-78,-106,-72,-87
"Oklahoma : other","thousand megawatthours","ELEC.GEN.OTH-OK-98.A","--",0,0,0,0,0,22
"Oklahoma : all solar",,"ELEC.GEN.TSN-OK-98.A",,,,,,,
"Oklahoma : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-OK-98.A","--","--","--","--","--","--","--"
"Oklahoma : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OK-98.A","--","--","--","--","--",2,5
"Texas",,"ELEC.GEN..A",,,,,,,
"Texas : all fuels (utility-scale)",,"ELEC.GEN.ALL-TX-98.A",,,,,,,
"Texas : coal","thousand megawatthours","ELEC.GEN.COW-TX-98.A",146850,157890,138088,149404,148174,121554,121231
"Texas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-TX-98.A",104,133,89,91,100,105,79
"Texas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-TX-98.A",455,719,55,101,0,0,0
"Texas : natural gas","thousand megawatthours","ELEC.GEN.NG-TX-98.A",152007,164845,175977,165361,167034,197669,185651
"Texas : other gases","thousand megawatthours","ELEC.GEN.OOG-TX-98.A",1678,1925,1633,1457,1144,1314,1318
"Texas : nuclear","thousand megawatthours","ELEC.GEN.NUC-TX-98.A",41335,39648,38441,38315,39287,39355,42079
"Texas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-TX-98.A",1262,563,584,480,386,956,1103
"Texas : other renewables",,"ELEC.GEN.AOR-TX-98.A",,,,,,,
"Texas : wind","thousand megawatthours","ELEC.GEN.WND-TX-98.A",26251,30548,32214,35874,39982,44803,57508
"Texas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TX-98.A",8,29,118,161,280,399,749
"Texas : geothermal","thousand megawatthours","ELEC.GEN.GEO-TX-98.A","--","--","--","--","--","--","--"
"Texas : biomass","thousand megawatthours","ELEC.GEN.BIO-TX-98.A",422,542,691,671,822,864,788
