"Net generation for residential"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=004&linechart=ELEC.GEN.COW-CT-8.A&columnchart=ELEC.GEN.COW-CT-8.A&map=ELEC.GEN.COW-CT-8.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Fri Aug 18 2017 17:50:21 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Rhode Island : all solar",,"ELEC.GEN.TSN-RI-8.A",,,,,,,
"Rhode Island : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-RI-8.A","--","--","--","--",1,3,7
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-8.A","--","--","--","--","--","--","--"
"Vermont",,"ELEC.GEN..A",,,,,,,
"Vermont : all fuels (utility-scale)",,"ELEC.GEN.ALL-VT-8.A",,,,,,,
"Vermont : coal","thousand megawatthours","ELEC.GEN.COW-VT-8.A","--","--","--","--","--","--","--"
"Vermont : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VT-8.A","--","--","--","--","--","--","--"
"Vermont : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VT-8.A","--","--","--","--","--","--","--"
"Vermont : natural gas","thousand megawatthours","ELEC.GEN.NG-VT-8.A","--","--","--","--","--","--","--"
"Vermont : other gases","thousand megawatthours","ELEC.GEN.OOG-VT-8.A","--","--","--","--","--","--","--"
"Vermont : nuclear","thousand megawatthours","ELEC.GEN.NUC-VT-8.A","--","--","--","--","--","--","--"
"Vermont : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VT-8.A","--","--","--","--","--","--","--"
"Vermont : other renewables",,"ELEC.GEN.AOR-VT-8.A",,,,,,,
"Vermont : wind","thousand megawatthours","ELEC.GEN.WND-VT-8.A","--","--","--","--","--","--","--"
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-8.A","--","--","--","--","--","--","--"
"Vermont : geothermal","thousand megawatthours","ELEC.GEN.GEO-VT-8.A","--","--","--","--","--","--","--"
"Vermont : biomass","thousand megawatthours","ELEC.GEN.BIO-VT-8.A","--","--","--","--","--","--","--"
"Vermont : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VT-8.A","--","--","--","--","--","--","--"
"Vermont : other","thousand megawatthours","ELEC.GEN.OTH-VT-8.A","--","--","--","--","--","--","--"
"Vermont : all solar",,"ELEC.GEN.TSN-VT-8.A",,,,,,,
"Vermont : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-VT-8.A","--","--","--","--",25,36,51
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-8.A","--","--","--","--","--","--","--"
"Middle Atlantic",,"ELEC.GEN..A",,,,,,,
"New Jersey",,"ELEC.GEN..A",,,,,,,
"New Jersey : all fuels (utility-scale)",,"ELEC.GEN.ALL-NJ-8.A",,,,,,,
"New Jersey : coal","thousand megawatthours","ELEC.GEN.COW-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : natural gas","thousand megawatthours","ELEC.GEN.NG-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : other gases","thousand megawatthours","ELEC.GEN.OOG-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : nuclear","thousand megawatthours","ELEC.GEN.NUC-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : other renewables",,"ELEC.GEN.AOR-NJ-8.A",,,,,,,
"New Jersey : wind","thousand megawatthours","ELEC.GEN.WND-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : geothermal","thousand megawatthours","ELEC.GEN.GEO-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : biomass","thousand megawatthours","ELEC.GEN.BIO-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : other","thousand megawatthours","ELEC.GEN.OTH-NJ-8.A","--","--","--","--","--","--","--"
"New Jersey : all solar",,"ELEC.GEN.TSN-NJ-8.A",,,,,,,
"New Jersey : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NJ-8.A","--","--","--","--",284,337,488
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-8.A","--","--","--","--","--","--","--"
"New York",,"ELEC.GEN..A",,,,,,,
"New York : all fuels (utility-scale)",,"ELEC.GEN.ALL-NY-8.A",,,,,,,
"New York : coal","thousand megawatthours","ELEC.GEN.COW-NY-8.A","--","--","--","--","--","--","--"
"New York : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NY-8.A","--","--","--","--","--","--","--"
"New York : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NY-8.A","--","--","--","--","--","--","--"
"New York : natural gas","thousand megawatthours","ELEC.GEN.NG-NY-8.A","--","--","--","--","--","--","--"
"New York : other gases","thousand megawatthours","ELEC.GEN.OOG-NY-8.A","--","--","--","--","--","--","--"
"New York : nuclear","thousand megawatthours","ELEC.GEN.NUC-NY-8.A","--","--","--","--","--","--","--"
"New York : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NY-8.A","--","--","--","--","--","--","--"
"New York : other renewables",,"ELEC.GEN.AOR-NY-8.A",,,,,,,
"New York : wind","thousand megawatthours","ELEC.GEN.WND-NY-8.A","--","--","--","--","--","--","--"
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-8.A","--","--","--","--","--","--","--"
"New York : geothermal","thousand megawatthours","ELEC.GEN.GEO-NY-8.A","--","--","--","--","--","--","--"
"New York : biomass","thousand megawatthours","ELEC.GEN.BIO-NY-8.A","--","--","--","--","--","--","--"
"New York : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NY-8.A","--","--","--","--","--","--","--"
"New York : other","thousand megawatthours","ELEC.GEN.OTH-NY-8.A","--","--","--","--","--","--","--"
"New York : all solar",,"ELEC.GEN.TSN-NY-8.A",,,,,,,
"New York : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NY-8.A","--","--","--","--",162,319,546
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-8.A","--","--","--","--","--","--","--"
"Pennsylvania",,"ELEC.GEN..A",,,,,,,
"Pennsylvania : all fuels (utility-scale)",,"ELEC.GEN.ALL-PA-8.A",,,,,,,
"Pennsylvania : coal","thousand megawatthours","ELEC.GEN.COW-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : petroleum coke","thousand megawatthours","ELEC.GEN.PC-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : natural gas","thousand megawatthours","ELEC.GEN.NG-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : other gases","thousand megawatthours","ELEC.GEN.OOG-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : nuclear","thousand megawatthours","ELEC.GEN.NUC-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : other renewables",,"ELEC.GEN.AOR-PA-8.A",,,,,,,
"Pennsylvania : wind","thousand megawatthours","ELEC.GEN.WND-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : geothermal","thousand megawatthours","ELEC.GEN.GEO-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : biomass","thousand megawatthours","ELEC.GEN.BIO-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : other","thousand megawatthours","ELEC.GEN.OTH-PA-8.A","--","--","--","--","--","--","--"
"Pennsylvania : all solar",,"ELEC.GEN.TSN-PA-8.A",,,,,,,
"Pennsylvania : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-PA-8.A","--","--","--","--",88,93,109
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-8.A","--","--","--","--","--","--","--"
"East North Central",,"ELEC.GEN..A",,,,,,,
"Illinois",,"ELEC.GEN..A",,,,,,,
"Illinois : all fuels (utility-scale)",,"ELEC.GEN.ALL-IL-8.A",,,,,,,
"Illinois : coal","thousand megawatthours","ELEC.GEN.COW-IL-8.A","--","--","--","--","--","--","--"
"Illinois : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IL-8.A","--","--","--","--","--","--","--"
"Illinois : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IL-8.A","--","--","--","--","--","--","--"
"Illinois : natural gas","thousand megawatthours","ELEC.GEN.NG-IL-8.A","--","--","--","--","--","--","--"
"Illinois : other gases","thousand megawatthours","ELEC.GEN.OOG-IL-8.A","--","--","--","--","--","--","--"
"Illinois : nuclear","thousand megawatthours","ELEC.GEN.NUC-IL-8.A","--","--","--","--","--","--","--"
"Illinois : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IL-8.A","--","--","--","--","--","--","--"
"Illinois : other renewables",,"ELEC.GEN.AOR-IL-8.A",,,,,,,
"Illinois : wind","thousand megawatthours","ELEC.GEN.WND-IL-8.A","--","--","--","--","--","--","--"
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-8.A","--","--","--","--","--","--","--"
"Illinois : geothermal","thousand megawatthours","ELEC.GEN.GEO-IL-8.A","--","--","--","--","--","--","--"
"Illinois : biomass","thousand megawatthours","ELEC.GEN.BIO-IL-8.A","--","--","--","--","--","--","--"
"Illinois : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IL-8.A","--","--","--","--","--","--","--"
"Illinois : other","thousand megawatthours","ELEC.GEN.OTH-IL-8.A","--","--","--","--","--","--","--"
"Illinois : all solar",,"ELEC.GEN.TSN-IL-8.A",,,,,,,
"Illinois : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IL-8.A","--","--","--","--",5,8,11
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-8.A","--","--","--","--","--","--","--"
"Indiana",,"ELEC.GEN..A",,,,,,,
"Indiana : all fuels (utility-scale)",,"ELEC.GEN.ALL-IN-8.A",,,,,,,
"Indiana : coal","thousand megawatthours","ELEC.GEN.COW-IN-8.A","--","--","--","--","--","--","--"
"Indiana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IN-8.A","--","--","--","--","--","--","--"
"Indiana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IN-8.A","--","--","--","--","--","--","--"
"Indiana : natural gas","thousand megawatthours","ELEC.GEN.NG-IN-8.A","--","--","--","--","--","--","--"
"Indiana : other gases","thousand megawatthours","ELEC.GEN.OOG-IN-8.A","--","--","--","--","--","--","--"
"Indiana : nuclear","thousand megawatthours","ELEC.GEN.NUC-IN-8.A","--","--","--","--","--","--","--"
"Indiana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IN-8.A","--","--","--","--","--","--","--"
"Indiana : other renewables",,"ELEC.GEN.AOR-IN-8.A",,,,,,,
"Indiana : wind","thousand megawatthours","ELEC.GEN.WND-IN-8.A","--","--","--","--","--","--","--"
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-8.A","--","--","--","--","--","--","--"
"Indiana : geothermal","thousand megawatthours","ELEC.GEN.GEO-IN-8.A","--","--","--","--","--","--","--"
"Indiana : biomass","thousand megawatthours","ELEC.GEN.BIO-IN-8.A","--","--","--","--","--","--","--"
"Indiana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IN-8.A","--","--","--","--","--","--","--"
"Indiana : other","thousand megawatthours","ELEC.GEN.OTH-IN-8.A","--","--","--","--","--","--","--"
"Indiana : all solar",,"ELEC.GEN.TSN-IN-8.A",,,,,,,
"Indiana : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IN-8.A","--","--","--","--",3,5,8
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-8.A","--","--","--","--","--","--","--"
"Michigan",,"ELEC.GEN..A",,,,,,,
"Michigan : all fuels (utility-scale)",,"ELEC.GEN.ALL-MI-8.A",,,,,,,
"Michigan : coal","thousand megawatthours","ELEC.GEN.COW-MI-8.A","--","--","--","--","--","--","--"
"Michigan : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MI-8.A","--","--","--","--","--","--","--"
"Michigan : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MI-8.A","--","--","--","--","--","--","--"
"Michigan : natural gas","thousand megawatthours","ELEC.GEN.NG-MI-8.A","--","--","--","--","--","--","--"
"Michigan : other gases","thousand megawatthours","ELEC.GEN.OOG-MI-8.A","--","--","--","--","--","--","--"
"Michigan : nuclear","thousand megawatthours","ELEC.GEN.NUC-MI-8.A","--","--","--","--","--","--","--"
"Michigan : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MI-8.A","--","--","--","--","--","--","--"
"Michigan : other renewables",,"ELEC.GEN.AOR-MI-8.A",,,,,,,
"Michigan : wind","thousand megawatthours","ELEC.GEN.WND-MI-8.A","--","--","--","--","--","--","--"
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-8.A","--","--","--","--","--","--","--"
"Michigan : geothermal","thousand megawatthours","ELEC.GEN.GEO-MI-8.A","--","--","--","--","--","--","--"
"Michigan : biomass","thousand megawatthours","ELEC.GEN.BIO-MI-8.A","--","--","--","--","--","--","--"
"Michigan : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MI-8.A","--","--","--","--","--","--","--"
"Michigan : other","thousand megawatthours","ELEC.GEN.OTH-MI-8.A","--","--","--","--","--","--","--"
"Michigan : all solar",,"ELEC.GEN.TSN-MI-8.A",,,,,,,
"Michigan : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MI-8.A","--","--","--","--",8,10,13
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-8.A","--","--","--","--","--","--","--"
"Ohio",,"ELEC.GEN..A",,,,,,,
"Ohio : all fuels (utility-scale)",,"ELEC.GEN.ALL-OH-8.A",,,,,,,
"Ohio : coal","thousand megawatthours","ELEC.GEN.COW-OH-8.A","--","--","--","--","--","--","--"
"Ohio : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OH-8.A","--","--","--","--","--","--","--"
"Ohio : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OH-8.A","--","--","--","--","--","--","--"
"Ohio : natural gas","thousand megawatthours","ELEC.GEN.NG-OH-8.A","--","--","--","--","--","--","--"
"Ohio : other gases","thousand megawatthours","ELEC.GEN.OOG-OH-8.A","--","--","--","--","--","--","--"
"Ohio : nuclear","thousand megawatthours","ELEC.GEN.NUC-OH-8.A","--","--","--","--","--","--","--"
"Ohio : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OH-8.A","--","--","--","--","--","--","--"
"Ohio : other renewables",,"ELEC.GEN.AOR-OH-8.A",,,,,,,
"Ohio : wind","thousand megawatthours","ELEC.GEN.WND-OH-8.A","--","--","--","--","--","--","--"
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-8.A","--","--","--","--","--","--","--"
"Ohio : geothermal","thousand megawatthours","ELEC.GEN.GEO-OH-8.A","--","--","--","--","--","--","--"
"Ohio : biomass","thousand megawatthours","ELEC.GEN.BIO-OH-8.A","--","--","--","--","--","--","--"
"Ohio : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OH-8.A","--","--","--","--","--","--","--"
"Ohio : other","thousand megawatthours","ELEC.GEN.OTH-OH-8.A","--","--","--","--","--","--","--"
"Ohio : all solar",,"ELEC.GEN.TSN-OH-8.A",,,,,,,
