"Net generation for commercial non-cogen"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=1&linechart=ELEC.GEN.COW-CT-4.A&columnchart=ELEC.GEN.COW-CT-4.A&map=ELEC.GEN.COW-CT-4.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Fri Aug 18 2017 17:49:19 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Middle Atlantic",,"ELEC.GEN..A",,,,,,,
"New Jersey",,"ELEC.GEN..A",,,,,,,
"New Jersey : all fuels (utility-scale)",,"ELEC.GEN.ALL-NJ-4.A",,,,,,,
"New Jersey : coal","thousand megawatthours","ELEC.GEN.COW-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : natural gas","thousand megawatthours","ELEC.GEN.NG-NJ-4.A","--","--","--","--",0,0,0
"New Jersey : other gases","thousand megawatthours","ELEC.GEN.OOG-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : nuclear","thousand megawatthours","ELEC.GEN.NUC-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : other renewables",,"ELEC.GEN.AOR-NJ-4.A",,,,,,,
"New Jersey : wind","thousand megawatthours","ELEC.GEN.WND-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-4.A","--",8,37,75,99,125,150
"New Jersey : geothermal","thousand megawatthours","ELEC.GEN.GEO-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : biomass","thousand megawatthours","ELEC.GEN.BIO-NJ-4.A",166,237,153,154,165,167,163
"New Jersey : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : other","thousand megawatthours","ELEC.GEN.OTH-NJ-4.A",130,138,147,146,143,145,143
"New Jersey : all solar",,"ELEC.GEN.TSN-NJ-4.A",,,,,,,
"New Jersey : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NJ-4.A","--","--","--","--","--","--","--"
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-4.A","--",8,37,75,99,125,150
"New York",,"ELEC.GEN..A",,,,,,,
"New York : all fuels (utility-scale)",,"ELEC.GEN.ALL-NY-4.A",,,,,,,
"New York : coal","thousand megawatthours","ELEC.GEN.COW-NY-4.A","--","--","--","--","--","--","--"
"New York : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NY-4.A",0,0,0,0,0,0,"NM"
"New York : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NY-4.A","--","--","--","--","--","--","--"
"New York : natural gas","thousand megawatthours","ELEC.GEN.NG-NY-4.A",104,10,9,14,23,12,"NM"
