# File: GCAMFAOSTAT_NManure.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: FAO manure applied to soils N content by country_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Description:  Data was processed to include missing livestock types (with 0 values), calculate livestock totals (if not already present), use share based backcasting for successor countries with missing values, removing general areas and keeping individual countries to avoid duplicate values. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data source: FAOSTAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date of CSV last update: 2026-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCAM_region_ID,iso,FAO_country,item_code,item,element_code,element,unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
27,afg,Afghanistan,72381,Manure applied to soils (N content),961,"Cattle, non-dairy",kg,7327856.8,8327110,8393726.88,8560269.08,8427035.32,8793428.16,8460343.76,8503644.732,8393726.88,8860045.04,8893353.48,7910754.5,7301210.048,7870784.372,8520298.952,8660194.4,8740134.656,8693502.84,8626885.96,8626885.96,8726811.28,8693502.84,7660941.2,4996266,3997012.8,2571411.568,2631366.76,2664675.2,2664675.2,2642944.774,1665422,1765347.32,1998506.4,1961867.116,1980386.609,2802572.142,2981105.38,3025505.531,3589147.621,2997759.6,2161717.756,3713891.06,4093607.276,3643943.336,3740537.812,4363405.64,4519955.308,4813069.58,4733129.324,5905586.412,5742375.056,4143569.936,3980358.58,4326766.356,5709499.626,5669432.903,5361483.052,5769301.599,5815277.239,5905000.183,5992717.96,6162307.882,6288623.479
27,afg,Afghanistan,72381,Manure applied to soils (N content),960,"Cattle, dairy",kg,5422438.175,5422438.175,6042145.395,6042145.395,6739316.018,7436486.64,8211120.665,8366047.47,8366047.47,8056193.86,7823803.653,7939998.756,8056193.86,8288584.068,8373793.81,8520974.275,7947745.097,8675901.08,8675901.08,8675901.08,8753364.483,8753364.483,9295608.3,9295608.3,7746340.25,5887218.59,6119608.798,6197072.2,6197072.2,6247609.324,8520974.275,9063218.093,9295608.3,10155452.07,11619510.38,13943412.45,15492680.5,16267314.53,18591216.6,15492680.5,12394144.4,20140484.65,20140484.65,18591216.6,20140484.65,21689752.7,23239020.75,25562922.83,25562922.83,30210726.98,29436092.95,30985361,31295214.61,31372678.01,27475261.84,27362389.92,26084662.08,26767881.54,26942313.63,27292502.44,27635525.88,28261740.02,28737070.95
27,afg,Afghanistan,72381,Manure applied to soils (N content),2029,Poultry birds total,kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,afg,Afghanistan,72381,Manure applied to soils (N content),1110,Mules and hinnies,kg,21827,22329.021,24664.51,26956.345,29248.18,25101.05,25101.05,33831.85,33831.85,38197.25,38197.25,33831.85,28920.775,28920.775,28920.775,28920.775,32740.5,32740.5,32740.5,32740.5,32740.5,32740.5,32740.5,32740.5,32740.5,32740.5,31649.15,30557.8,29466.45,28375.1,27283.75,26192.4,25101.05,25101.05,25101.05,26192.4,28375.1,30557.8,32740.5,32740.5,27283.75,27283.75,27283.75,29466.45,31649.15,25101.05,26192.4,26192.4,28375.1,26192.4,27283.75,26192.4,22918.35,26192.4,26738.075,27174.615,26192.4,25940.29815,26009.0532,26693.32965,26742.4404,26709.6999,26679.1421
15,alb,Albania,72381,Manure applied to soils (N content),1757,Cattle total,kg,14285313.74,14295064.69,14290827.31,14420876.65,15464765.14,15594556.15,16032999.42,15273791.38,15441795.71,15328628.38,15049859.54,14760197.66,15250098.53,16208558.64,16483751.64,17916661.98,18979556.33,20739902.57,21828370.76,22106436.82,22569575.34,22606589.82,22893171.89,22751800.53,21725920.67,22789729.73,24710933.76,26003490.6,26364127.44,24594360.79,25331297.03,25055215.12,26648807.44,34242474.41,35302521.49,34927777.25,32419958.5,30441390.43,31089079.58,31753407.9,31042624.05,30391627.7,30462835.21,29452183.76,29335915.99,28503180.15,26332382.76,24367922.09,22942117.03,22972966.73,22918398.38,23179196.56,23138923.83,23231968.24,23325030.82,22953482.16,22343913.06,21952079.78,19855091.69,17898614.86,16798538.74,15309205.76,13775014.52
15,alb,Albania,72381,Manure applied to soils (N content),1096,Horses,kg,69980.3988,69694.1804,66402.6688,64685.3584,63254.2664,62968.048,62681.8296,62252.502,62252.502,62252.502,61536.956,60105.864,60105.864,60105.864,61536.956,61536.956,61536.956,60821.41,60821.41,65544.0136,68692.416,71554.6,85865.52,93020.98,91589.888,88727.704,87439.7212,86008.6292,83146.4452,81858.4624,79854.9336,63111.1572,83289.5544,88727.704,101607.532,105900.808,100176.44,87296.612,90158.796,90158.796,95883.164,93020.98,90158.796,83003.336,75847.876,72985.692,65830.232,61536.956,54381.496,50088.22,40643.0128,48637.09271,45193.88536,45404.25588,44363.852,45407.11807,46164.16574,45658.99026,45292.63071,42932.76,41501.668,37208.392,39054.50068
15,alb,Albania,72381,Manure applied to soils (N content),1052,"Chickens, layers",kg,258942.096,258942.096,258942.096,258942.096,265107.384,265107.384,302099.112,326760.264,351421.416,345256.128,345256.128,357586.704,425404.872,487057.752,628859.376,684346.968,745999.848,801487.44,863140.32,924793.2,986446.08,1109751.84,1109751.84,1214561.736,1233057.6,1418016.24,1418016.24,1418016.24,1602974.88,1726280.64,1356363.36,986446.08,986446.08,1109751.84,1109751.84,1233057.6,1294710.48,1541322,1602974.88,1664627.76,1911239.28,1911239.28,2096197.92,2281156.56,2157850.8,2096197.92,2157850.8,2342809.44,2466115.2,2774379.6,2805206.04,3178822.493,3009893.602,3029005.994,2988931.622,2953172.952,2971668.816,3059832.434,3085110.115,3086343.173,3236159.671,3082027.471,2994480.382
15,alb,Albania,72381,Manure applied to soils (N content),1759,Mules and Asses total,kg,36566.868,37504.48,38540.788,37948.612,39132.964,38984.92,39231.66,39231.66,39231.66,39231.66,44166.46,44166.46,46633.86,46633.86,48114.3,48114.3,48114.3,48114.3,49101.26,49101.26,51568.66,51568.66,54036.06,54036.06,54036.06,56503.46,56503.46,57983.9,58970.86,61191.52,61734.348,61191.52,68741.764,68100.24,68100.24,68100.24,67113.28,64152.4,70074.16,69580.68,62671.96,57243.68,52802.36,48361.04,47374.08,39971.88,37504.48,34543.6,31582.72,31089.24,31089.24,31089.24,28621.84,29115.32,29608.8,30595.76,27634.88,27634.88,27141.4,24180.52,23193.56,19245.72,17989.8134
15,alb,Albania,72381,Manure applied to soils (N content),2029,Poultry Birds total,kg,668676.861,702939.1646,693755.4544,708237.459,703452.9386,721467.1395,731260.9564,705058.4824,760802.9614,913586.5046,914292.9439,921325.2255,959472.945,1055741.348,1257590.309,1351932.059,1448906.902,1472604.728,1534257.608,1628406.693,1692885.33,1816191.09,1886835.015,1966919.537,2001663.504,2123042.612,2449417.545,2392549.185,2673230.344,2594847.698,1887605.676,1266196.023,1285269.883,2690036.462,2776631.643,2935518.036,3015902.973,3179166.079,3248954.428,3511602.476,3585029.343,3957285.365,4108255.358,4569222.31,4573551.213,4346235.474,5200491.786,5900194.888,6081557.11,6251006.197,6647992.945,6014516.738,5693973.14,6002244.676,5328850.37,4706392.476,4770926.057,4598944.492,4547249.552,4466679.799,3974050.453,3703220.197,3624532.855
15,alb,Albania,72381,Manure applied to soils (N content),1749,Sheep and Goats total,kg,3788641.387,3887667.384,3851905.011,3862899.311,4115509.125,4010219.654,3898762.352,3402099.058,3128800.09,3104139.119,2885226.558,2770178.578,2755213.227,2732693.253,2731254.277,2729815.301,2728376.325,2727184.639,2760100.941,3008183.443,3062458.382,3125187.031,3201180.898,3254241.769,3170063.863,3263055.771,3473230.318,3722841.321,3907790.12,4006306.795,4138306.957,4360657.88,4627301.201,5991907.58,5982372.995,4731667.125,4418518.459,4375797.901,4558857.907,4543478.988,4423812.418,4233880.809,4409836.555,4147995.351,4080095.998,4214725.399,4213149.945,4070380.173,3973970.971,4049604.546,3945282.071,4080302.074,4211533.578,4316203.824,4379122.385,4489740.648,4394451.867,4263714.416,4020655.566,3569333.384,3420378.001,3171398.661,2792912.757
