# File: FAO_ag_items_PRODSTAT.csv
# Title: FAO_ag_items_PRODSTAT
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases
# Sources: FAO and other databases
# Column types: ciccccicccccccccccc
# ----------
item,item.code,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix,Vish_crop
Currants,550,Currants,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Currants,,Fruits other,,v_f,,,Fruits and Vegetable
Dates,577,Dates,Fruits,FruitsTree,FRUI,19,Date,FruitsAndVeg,Date palm,Crop19,,,Dates,,v_f,,Tree,Fruits and Vegetable
Eggplants (aubergines),399,Eggplants,Vegetables,Vegetables,VEGE,16,Eggplant,FruitsAndVeg,Others (annual),Crop26,Eggplants.aubergines.,,Vegetables other,,v_f,,,Fruits and Vegetable
Fibre crops nes,821,FibreCropNES,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,FibreCropsNes,,,,pfb,,,Other Crops
Figs,569,Figs,Fruits,FruitsTree,FRUI,19,Fig,FruitsAndVeg,Others (perennial) ,Crop24,Figs,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Flax fibre and tow,773,FlaxFibr_Tow,FiberCrop,FiberCrop,FIBR,33,Flax,Other,Others (annual),Crop26,Flaxfibreandtow,,,,pfb,,,Other Crops
Fonio,94,Fonio,OtherGrain,OtherGrain,OTHC,7,,OtherCoarseGrains,Others (annual),Crop26,Fonio,,,,gro,,,Other Coarse Grain
forage Products,651,FrgProdNES,FodderGrass,FodderGrass,,,Fodder (other),Other,Fodder crops,Crop25,,,,,ocr,,,Other Crops
"Fruit, citrus nes",512,CitrusFrtNES,Fruits,FruitsTree,CITR,18,Citrus fruits,FruitsAndVeg,Citrus,Crop18,,,Citrus other,,v_f,,Tree,Fruits and Vegetable
"Fruit, fresh nes",619,FrtFrshNES,Fruits,FruitsTree,FRUI,19,Fruits,FruitsAndVeg,Others (perennial) ,Crop24,FruitFreshNes,,Fruits other,,v_f,,Tree,Fruits and Vegetable
"Fruit, pome nes",542,,Fruits,FruitsTree,,,,,,,,,,,v_f,,Tree,Other Crops
"Fruit, stone nes",541,StnFrtNESFrh,Fruits,FruitsTree,,,,FruitsAndVeg,Others (perennial) ,Crop24,Stonefruit_nes,,,,v_f,,Tree,Fruits and Vegetable
"Fruit, tropical fresh nes",603,FrtTrpFrNES,Fruits,FruitsTree,CITR,18,Fruits,FruitsAndVeg,Others (perennial) ,Crop24,Fruit_tropicalfreshnes,,Citrus other,,v_f,,Tree,Fruits and Vegetable
Garlic,406,Garlic,Vegetables,Vegetables,VEGE,16,Garlic,FruitsAndVeg,Others (annual),Crop26,Garlic,,Vegetables other,,v_f,,,Fruits and Vegetable
Ginger,720,ginger,MiscCrop,MiscCrop,,,,Other,Others (perennial) ,Crop24,Ginger,,,,ocr,,,Other Crops
Gooseberries,549,Gooseberries,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Gooseberries,,Fruits other,,v_f,,,Fruits and Vegetable
"Grain, mixed",103,MixedGrain,OtherGrain,OtherGrain,OTHC,7,,OtherCoarseGrains,Others (annual),Crop26,Mixedgrain,,,,gro,,,Other Coarse Grain
Grapefruit (inc. pomelos),507,Grpfrt_Pmlos,Fruits,FruitsTree,CITR,18,Grapefruit,FruitsAndVeg,Citrus,Crop18,,,Grapefruit,,v_f,,Tree,Fruits and Vegetable
Grapes,560,Grapes,Fruits,Fruits,FRUI,19,Grape,FruitsAndVeg,Grapes,Crop20,,,Grapes,,v_f,,,Fruits and Vegetable
Grasses Nes for forage;Sil,639,GrsNESFrgSlg,FodderGrass,FodderGrass,,,Hay,Other,Fodder crops,Crop25,,,,,,,,Other Crops
Grasses Nes for forage;Sil,639,MxGrss_Lgm,FodderGrass,FodderGrass,,,Hay,Other,Fodder crops,Crop25,,,,,,,,Other Crops
Green Oilseeds for Silage,642,GrnOlsd4Fddr,FodderHerb,FodderHerb,,,Fodder (other),Other,Fodder crops,Crop25,,,Oilcrops other,"Oilseeds, Nes",ocr,,,Other Crops
