# File: GCAMFAOSTAT_PFertilizer.csv
# Title: FAO phosphate fertilizer production and consumption by country_year
# Units: tonnes P2O5
# Description:  Queried data are preprocessed for consistency with outputs of gcamfaostat
# Data source: FAOSTAT
# Date of CSV last update: 2026-07-23
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
16,Bangladesh,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,34800,27700,41555,43848,35555,54268,61128,90638,100982,117800,120080,120200,126400,160700,155700,136886,154000,179490,191357,221108,236304,216600,212018,149721,153420,158000,117455,116800,161400,207400,250346,248991,321758,200266,272838,326713,298610,256050,109700,170219,296086,399740,500020,500480,564880,606740,638480,642160,710240,760380,747040,1113660,1063060
16,Bangladesh,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,13812,22453,20152,17646,28652,32710,32900,27000,31100,36500,24800,46349,57829,53789,65599,67287,50910,40500,40069,49200,50180,60000,49424,38948,41100,52800,50480,54840,49500,58866,64750,69022,69015,65150,58420,24380,50140,47380,51980,31280,61640,69460,90620,76360,70840,82800,82800,82800,82800
17,Bermuda,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,22,16,2,16,0,0,0,0
17,Bermuda,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Bhutan,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,0,0,0,0,9,0,0,0,0,0,0,0,0,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,183,212,221,252,254,240,474,192,274,172,266,309,323,332,248,281,326,380,153,219
18,Bhutan,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bolivia (Plurinational State of),3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,945,1000,1000,2030,2000,1500,1500,1414,2700,1023,796,3500,1100,4761,2314,2800,3000,953,1300,5334,2516,3513,7567,6800,5059,3612,4251,7086,2874,667,3610,5124,6478,5119,5577,7750,4094,8498,4576,8258,10833,9301,11384,15284,12971,13316,10711,15724,12848,11499,20587,18073,20707
19,Bolivia (Plurinational State of),3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Botswana,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,600,600,600,700,800,900,1000,1100,1100,600,800,800,800,400,400,222,312,400,400,400,400,400,400,400,400,106,104,200,300,300,300,300,0,0,0,0,0,0,0,898,837,741,252,389,1123,2059,759,1656,1415,1672,2171,1260,1644
20,Botswana,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brazil,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,417470,493829,756465,796434,914151,1013848,1308329,1545476,1530992,1685012,1988486,1318300,1210400,991800,1559000,1309088,1663200,1627000,1507000,1296115,1201600,1279600,1360640,1640500,1931000,1275200,1704800,2004400,2022400,1953697,2338000,2482000,2713697,3138299,3927288,2879511,3056564,4075613,3564355,2642295,3307595,4289256,4087623,4922892,5098098,4323014,3984785,4574008,5106939,4860258,7233810,6623589,5735127
21,Brazil,3103,Nutrient phosphate P2O5 (total),5510,Production,t,202663,277887,343957,400875,477776,594410,926063,1122359,1136104,1256609,1582478,1186600,1111408,1053861,1499246,1281700,1501490,1471590,1407200,1298800,1090698,1113346,1110137,1235448,1428583,1264670,1305138,1354136,1368989,1357784,1496136,1444863,1532564.66,1628284.44,1872373.67,1702746.42,1884335.45,2180542.16,2032477.74,1606292.66,1924612.55,2007276.53,1977859.53,2060970.96,2097133.41,2071942.97,1518396.05,1627806.81,2031722.93,1463102.84,1991983.14,1925997.87,2016994.17
22,Aruba,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,3,7,10,11,15,9,18,14,43,18,17,16,14,12,23,12,9,10,7
22,Aruba,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Belize,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,1300,460,687,1580,1000,1300,600,341,751,669,848,556,462,552,573,604,1166,1238,1037,1200,1700,2000,2400,3000,1400,2700,1300,2500,2700,2800,1900,2300,9835,4640,2499,1545,3359,1560,1626,2724,1302,11451,3468,8392,7080,11297,12739,10189,12201,14675,12061,12437,4257
23,Belize,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Solomon Islands,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,0,3,0,0,4,0,5,22,0,1,100,200,804,589,30,13,12,25
25,Solomon Islands,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Brunei Darussalam,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,0,0,0,0,0,0,0,0,0,0,171,112,165,41,159,150,64,100,200,100,0,0,0,0,0,0,0,0,0,0,0,0,11,55,99,138,50,339,93,119,552,75,80,76,232,232,232,232,232,232,232,232,232
26,Brunei Darussalam,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Bulgaria,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,235060,266015,230097,258719,215875,249566,253300,331220,328634,341444,291000,409000,361000,345000,355200,287000,247000,233000,243000,220300,150000,61115,26388,36500,14769,12000,13000,11029,9000,6012,4000,26280,90637,170934,23347,39325,76428,109423,122366,46888,28148,48780,49000,52123,54268,65931,82623,67753,76274,76781,78935,72965,73383
27,Bulgaria,3103,Nutrient phosphate P2O5 (total),5510,Production,t,147600,145800,129519,134832,188315,245881,241572,278573,282685,282300,216600,257585,238932,204051,211149,171705,132377,127962,178550,168753,46557,36860,37103,45039,45600,65000,80000,109800,83100,52000,94200,101599,120285,166300,156500,173100,161118,202233,174494,62912,113531,136320,134000,110000,0,0,0,0,0,0,0,0,0
28,Myanmar,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,5597,15457,14718,4283,4199,10779,6744,10147,14400,21200,30300,29900,43100,32700,46900,47647,49170,24594,18708,17254,14802,14485,10900,23660,31950,57200,33000,35161,34505,29075,34700,15700,8469,23668,56686,8051,17977,68962,13374,4859,10476,32683,21095,13088,14256,14866,30879,93682,147409,180974,141752,49063,88057
28,Myanmar,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
