"Wind.Resource.Region","TRG","CF"
12,"class7",0.327785150484132
12,"class8",0.254868643235616
12,"class9",0.189447574385731
120,"class4",0.475849581050228
120,"class5",0.441252443933447
120,"class6",0.413297120656393
120,"class7",0.330089489530251
120,"class8",0.274343398305365
121,"class5",0.4490755377371
121,"class6",0.421105142100571
121,"class7",0.35119573561621
122,"class2",0.462437316131507
122,"class3",0.466006183219178
122,"class4",0.463352977163813
122,"class5",0.449543447515068
122,"class6",0.42346683052968
122,"class7",0.354001498483676
123,"class1",0.474483435786872
123,"class2",0.468749307634132
123,"class3",0.467750976382078
123,"class4",0.469518438469521
123,"class5",0.467844725837671
123,"class6",0.438953293378995
124,"class5",0.445697945151027
124,"class6",0.400549219324886
124,"class7",0.322122848816096
124,"class8",0.279799867971575
125,"class3",0.468321239726027
125,"class5",0.466982608010731
125,"class6",0.419097035637671
125,"class7",0.312578577163014
125,"class8",0.266553070735959
125,"class9",0.206852755060502
126,"class6",0.396028933615639
126,"class7",0.334703877404566
126,"class8",0.27103272690879
126,"class9",0.200252656922146
127,"class6",0.396439843264726
127,"class7",0.354014615308219
127,"class8",0.297882100169635
128,"class4",0.46679671065411
128,"class5",0.460711450542694
128,"class6",0.416296848879452
128,"class7",0.343044781076941
128,"class8",0.266263368635502
128,"class9",0.207289307751484
129,"class6",0.377690721574315
129,"class7",0.304507964169635
129,"class8",0.259918795453881
129,"class9",0.200362883072603
13,"class1",0.470175024011872
13,"class10",0.0961818610628927
13,"class2",0.465385771410616
13,"class3",0.452681337737785
13,"class4",0.446906823435845
13,"class5",0.44691528302226
13,"class6",0.402782437710959
13,"class7",0.330966211080023
13,"class8",0.261352009558219
13,"class9",0.195229846220205
130,"class6",0.385273415827055
130,"class7",0.328683698410046
130,"class8",0.270173107328425
130,"class9",0.205043453076598
131,"class6",0.380224751876484
131,"class7",0.320390706719817
131,"class8",0.259925952623744
131,"class9",0.197571221230822
132,"class1",0.471326400973744
132,"class2",0.471641382406735
132,"class3",0.470121626204795
132,"class4",0.467558997047603
132,"class5",0.46022083102637
132,"class6",0.420875753621347
132,"class7",0.353838917352626
133,"class4",0.469006780251142
133,"class5",0.446408016685046
133,"class6",0.414000133342808
134,"class1",0.469272399256507
134,"class2",0.470515088770662
134,"class3",0.470130384430708
134,"class4",0.468433303322146
134,"class5",0.457529308790868
134,"class6",0.417853806433105
135,"class1",0.465347138498858
135,"class2",0.456599117282306
135,"class3",0.453544102032877
135,"class4",0.451156236009361
135,"class5",0.448967278795091
135,"class6",0.420288586774886
136,"class1",0.472116304484817
136,"class2",0.460711890417123
136,"class3",0.460782565337443
136,"class4",0.458004121218607
136,"class5",0.449272782315753
136,"class6",0.422803404905137
137,"class1",0.470115431322489
137,"class2",0.466156657296575
137,"class3",0.463562321234247
137,"class4",0.462751523463128
137,"class5",0.453221370082991
137,"class6",0.419153194783219
138,"class1",0.476319263838813
138,"class2",0.465137447256507
138,"class3",0.464584514381164
138,"class4",0.46255817137032
138,"class5",0.456074745789498
138,"class6",0.424926197488584
139,"class1",0.468878974297032
139,"class2",0.468632974274886
139,"class3",0.466582950545205
139,"class4",0.463648133335731
139,"class5",0.454860662235845
14,"class1",0.486186271228425
14,"class10",0.0797774198827626
14,"class2",0.461017652741552
14,"class3",0.457080966169292
14,"class4",0.442482304434703
14,"class5",0.43583706087226
14,"class6",0.412355268407192
14,"class7",0.334980880574201
14,"class8",0.261562425286758
14,"class9",0.1981490785379
140,"class1",0.464049363919521
140,"class2",0.467648253347831
140,"class3",0.46753486891758
140,"class4",0.466028213351941
140,"class5",0.451888139615868
140,"class6",0.406154149288014
140,"class7",0.360205359451484
141,"class1",0.466725689141096
141,"class2",0.46703835985331
141,"class3",0.467050097531849
141,"class4",0.466425248759361
141,"class5",0.450674857752968
141,"class6",0.408393937417123
141,"class7",0.350286790209703
142,"class4",0.46874546347032
142,"class5",0.443999091751027
142,"class6",0.400654946222717
142,"class7",0.351808634799543
143,"class4",0.463368319402055
143,"class5",0.44009154310605
143,"class6",0.400998067108562
143,"class7",0.356517511806735
144,"class4",0.469479104300103
144,"class5",0.443108724660502
144,"class6",0.393954036136986
144,"class7",0.349600272119521
145,"class5",0.431936470602169
145,"class6",0.389252729008219
145,"class7",0.349328726793721
146,"class5",0.430829441438699
146,"class6",0.385435923929909
146,"class7",0.333139946233402
146,"class8",0.268252296668836
147,"class10",0.141521268989155
147,"class5",0.428204850081963
147,"class6",0.386899314937215
147,"class7",0.330293379548059
147,"class8",0.248287271888927
147,"class9",0.190165258490411
148,"class1",0.467224539726587
148,"class2",0.452752960963813
148,"class3",0.454767885327169
148,"class4",0.449950015484247
148,"class5",0.442428512828539
148,"class6",0.394568562740183
148,"class7",0.340328714983676
148,"class8",0.266644707537329
149,"class1",0.466087052355205
149,"class2",0.460185307351484
149,"class3",0.459302644211644
149,"class4",0.454602609020434
149,"class5",0.444411029114498
149,"class6",0.415931275612785
15,"class1",0.465519570371005
15,"class10",0.0905338435833333
15,"class3",0.443371622482192
15,"class4",0.437838608445548
