Scenario,State,State_FIPS,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP2,New Jersey,34000,9231203,10060884,10897584,11655644,12326268,12980105,13573003,14018114,14298433,14438610
SSP2,New Mexico,35000,1999883,2147634,2294322,2419455,2523739,2625606,2715117,2774449,2806645,2809608
SSP2,New York,36000,20681803,22478674,24282225,25897048,27310460,28689011,29933453,30850474,31405304,31655243
SSP2,North Carolina,37000,8820163,9456630,10080234,10603896,11033432,11453724,11823844,12064682,12167770,12161822
SSP2,North Dakota,38000,690231,734026,775552,809912,836955,862861,885698,897509,903924,898132
SSP2,Ohio,39000,12496841,13526378,14552726,15454648,16229172,16985692,17664530,18148178,18418806,18513981
SSP2,Oklahoma,40000,3799522,4073307,4341940,4567856,4753129,4934444,5093781,5198131,5243228,5240822
SSP2,Oregon,41000,3759386,4061905,4364113,4628419,4854473,5075604,5273340,5412979,5491776,5516799
SSP2,Pennsylvania,42000,13555290,14646473,15730082,16673872,17477651,18262545,18964086,19456552,19721905,19801388
SSP2,Rhode Island,44000,1133609,1235893,1338868,1431627,1513225,1592850,1664942,1718499,1751500,1767113
SSP2,South Carolina,45000,4394685,4716201,5031846,5298598,5518910,5734358,5924591,6050142,6106676,6108292
SSP2,South Dakota,46000,821011,870349,917363,954243,982168,1008727,1030085,1041141,1044074,1035067
SSP2,Tennessee,47000,6254784,6715504,7168474,7552972,7871704,8183458,8459232,8642834,8728034,8734333
SSP2,Texas,48000,22868782,24840715,26813868,28562236,30074476,31548897,32874532,33832357,34390122,34610052
SSP2,Utah,49000,2454051,2656368,2859325,3039834,3196592,3349839,3487449,3588047,3648221,3672677
SSP2,Vermont,50000,665002,697252,726853,747319,760392,773245,783159,785100,778964,767243
SSP2,Virginia,51000,7777408,8393214,9004002,9533923,9983292,10422707,10814959,11088085,11231890,11270371
SSP2,Washington,53000,6439173,6975083,7511314,7987523,8401503,8805414,9169109,9433327,9588814,9653307
SSP2,West Virginia,54000,1981972,2095081,2202098,2283643,2343141,2401536,2450478,2473424,2470140,2447552
SSP2,Wisconsin,55000,5861549,6269370,6669204,7006964,7285526,7557839,7798270,7956602,8027757,8029695
SSP2,Wyoming,56000,532977,570131,606699,636235,660451,682867,703258,716737,724143,723809
SSP3,Alabama,1000,4879084,5085075,5115611,5033995,4862713,4657408,4432688,4169285,3871106,3556854
SSP3,Alaska,2000,584657,609979,618287,615848,603857,573027,551262,522574,487333,451709
SSP3,Arizona,4000,5635806,6008430,6209798,6279380,6230229,6110720,5934873,5679846,5350039,4976158
SSP3,Arkansas,5000,2926748,3031785,3029449,2961165,2841483,2705457,2561405,2398357,2218315,2031654
SSP3,California,6000,37372633,40092121,41733217,42527321,42510518,41962866,40972769,39377511,37228926,34730769
SSP3,Colorado,8000,4744124,5042054,5196147,5241644,5190705,5082721,4929347,4711115,4431993,4117862
SSP3,Connecticut,9000,3735085,3983138,4117592,4167320,4138479,4062257,3947575,3778802,3560499,3311829
