Region,Technology,Fuel,2005Vintage,PHEV,Emission,2005,2010
R3,TLMP20G10,Other,no,20-mi,BC,0,0
R3,TLPCNG10,CNG,no,no,BC,0,0
R3,TLPCONV10,GSL,no,no,BC,0,0.036
R3,TLPDSL10,DSL,no,no,BC,0,0.437
R3,TLPETHX10,ETH,no,no,BC,0,0
R3,TLSSCONV10,GSL,no,no,BC,0,0.063
R3,TLSSDSL10,DSL,no,no,BC,0,0
R3,TLSSETHX10,ETH,no,no,BC,0,0
R3,TLSSHEV10,Other,no,no,BC,0,0.004
R3,TMCNGC,CNG,no,no,BC,0,0
R3,TMCNGC10,CNG,no,no,BC,0,0
R3,TMCNGE,CNG,yes,no,BC,0,0
R3,TMDSLC,DSL,no,no,BC,0,0
R3,TMDSLC10,DSL,no,no,BC,0,0.203
R3,TMDSLE,DSL,yes,no,BC,0.908,0.438
R3,TMGSLC,GSL,no,no,BC,0,0
R3,TMGSLC10,GSL,no,no,BC,0,0.003
R3,TMGSLE,GSL,yes,no,BC,0.011,0.006
R3,TMLPGC,Other,no,no,BC,0,0
R3,TMLPGC10,Other,no,no,BC,0,0
R3,TMLPGE,Other,yes,no,BC,0,0
R4,TBCNGC,CNG,no,no,BC,0,0
R4,TBCNGE,CNG,yes,no,BC,0,0
R4,TBDSLC,DSL,no,no,BC,0,0
R4,TBDSLC10,DSL,no,no,BC,0,0.032
R4,TBDSLE,DSL,yes,no,BC,0.197,0.095
R4,TBGSLE,GSL,yes,no,BC,0,0
R4,TCDSLC,DSL,no,no,BC,0,0
R4,TCDSLC10,DSL,no,no,BC,0,0.055
R4,TCDSLE,DSL,yes,no,BC,0.769,0.396
R4,TCE85C,E85,no,no,BC,0,0
R4,TCGSLC,GSL,no,no,BC,0,0
R4,TCGSLC10,GSL,no,no,BC,0,0.002
R4,TCGSLE,GSL,yes,no,BC,0.032,0.016
R4,THLB20C,B20,no,no,BC,0,0
R4,THLDSLC,DSL,no,no,BC,0,0
R4,THLDSLC10,DSL,no,no,BC,0,1.414
R4,THLDSLE,DSL,yes,no,BC,9.43,4.693
R4,THSCNGC10,CNG,no,no,BC,0,0
R4,THSDSLC,DSL,no,no,BC,0,0
R4,THSDSLC10,DSL,no,no,BC,0,0.496
R4,THSDSLE,DSL,yes,no,BC,4.313,2.006
R4,THSGSLE,GSL,yes,no,BC,0.002,0.001
R4,THSLPGE,Other,yes,no,BC,0,0
R4,TLCCNG10,CNG,no,no,BC,0,0
R4,TLCCONV10,GSL,no,no,BC,0,0.023
R4,TLCDSL10,DSL,no,no,BC,0,0
R4,TLCHEV10,Other,no,no,BC,0,0.003
R4,TLECGSL,GSL,yes,no,BC,0.358,0.155
R4,TLECNGX,CNG,yes,no,BC,0,0
R4,TLEELC,Other,yes,no,BC,0,0
R4,TLEETHX,ETH,yes,no,BC,0.008,0.003
R4,TLEFDSL,DSL,yes,no,BC,0.002,0.001
R4,TLEFGSL,GSL,yes,no,BC,0.286,0.124
R4,TLELPGX,Other,yes,no,BC,0.002,0.001
R4,TLELSGSL,GSL,yes,no,BC,0.056,0.027
R4,TLEMCGSL,GSL,yes,no,BC,0.021,0.009
R4,TLEMGSL,GSL,yes,no,BC,0.123,0.059
R4,TLEPDSL,DSL,yes,no,BC,0.112,0.061
R4,TLEPGSL,GSL,yes,no,BC,0.244,0.116
R4,TLESSGSL,GSL,yes,no,BC,0.066,0.032
R4,TLFCONV10,GSL,no,no,BC,0,0.038
R4,TLFDSL10,DSL,no,no,BC,0,0.001
R4,TLLSCONV10,GSL,no,no,BC,0,0.023
R4,TLLSETHX10,ETH,no,no,BC,0,0.002
R4,TLMCCONV10,GSL,no,no,BC,0,0.002
R4,TLMCONV10,GSL,no,no,BC,0,0.01
R4,TLMETHX10,ETH,no,no,BC,0,0
R4,TLMP20G10,Other,no,20-mi,BC,0,0
R4,TLPCNG10,CNG,no,no,BC,0,0
R4,TLPCONV10,GSL,no,no,BC,0,0.017
