"BA","PV.class","CF"
"p17","class5",0.216054736605594
"p18","class3",0.189848362731507
"p18","class4",0.20143073129589
"p18","class5",0.212563565170776
"p19","class3",0.189176770606164
"p19","class4",0.199365213606507
"p2","class2",0.151268759692648
"p2","class3",0.171962618633904
"p2","class4",0.200736522931621
"p2","class5",0.209965188174954
"p20","class4",0.203068298992922
"p20","class5",0.210163680608105
"p21","class3",0.193532625744977
"p21","class4",0.210637323346575
"p21","class5",0.229831028809817
"p21","class6",0.240958215547032
"p22","class3",0.196531201340068
"p22","class4",0.209099860008447
"p22","class5",0.218765422839726
"p23","class4",0.213430802580137
"p23","class5",0.218010308191553
"p23","class6",0.218010308191553
"p24","class4",0.215136063025799
"p24","class5",0.225044522898858
"p24","class6",0.227828112625571
"p25","class4",0.207124818271301
"p25","class5",0.224933489582158
"p25","class6",0.24241092757911
"p25","class7",0.261252267445957
"p25","class8",0.269506039358219
"p26","class4",0.21644365562831
"p26","class5",0.229878783205594
"p26","class6",0.244110365082763
"p26","class7",0.256045723110388
"p27","class7",0.267002324089954
"p27","class8",0.273390644086301
"p28","class7",0.270734290522032
"p28","class8",0.270429903217226
"p29","class6",0.260848686726256
"p29","class7",0.270217117516895
"p29","class8",0.271999124682877
"p3","class2",0.16626472326016
"p3","class3",0.184784475213014
"p3","class4",0.195689224436518
"p3","class5",0.208230822698174
"p30","class7",0.258553344063699
"p30","class8",0.269832471077854
"p31","class5",0.244838687819406
"p31","class6",0.259253789909247
"p31","class7",0.269231642676712
"p31","class8",0.275514905618082
"p32","class5",0.220281877405137
"p32","class6",0.232252701611872
"p33","class4",0.214467310453082
"p33","class5",0.230274305916895
"p33","class6",0.238089626473288
"p33","class7",0.255798526006849
"p34","class4",0.217369368278082
"p34","class5",0.235660098485046
"p34","class6",0.24885995227129
"p34","class7",0.257176940054795
"p34","class8",0.278553275316781
"p35","class3",0.188027354334132
"p35","class4",0.200874231244406
"p35","class5",0.213309211102511
"p36","class3",0.18559877545613
"p36","class4",0.196730240738128
"p36","class5",0.210260318924543
"p37","class3",0.181903362969749
"p37","class4",0.188260714945662
"p38","class3",0.184739333893379
"p38","class4",0.199949669387546
"p38","class5",0.213266976500342
"p39","class5",0.223862944709018
"p39","class6",0.228363942319521
"p4","class4",0.19820493732363
"p4","class5",0.207766258902055
"p40","class4",0.202759003967922
"p40","class5",0.21528879644161
"p40","class6",0.227438337067466
"p41","class4",0.202782257775457
"p41","class5",0.20667479672968
"p42","class3",0.179896809508756
"p42","class4",0.190509755061416
"p43","class3",0.184561157604418
"p43","class4",0.188642052927968
"p44","class4",0.19135850164395
"p45","class3",0.185239080201027
"p45","class4",0.196091012853196
"p46","class3",0.183714677362785
"p46","class4",0.188949002722945
"p47","class7",0.261161865575616
"p47","class8",0.268295485768721
"p48","class6",0.242930397624886
"p48","class7",0.253406363185959
"p49","class6",0.241583798836644
"p49","class7",0.253005801902283
"p5","class2",0.155403023200228
"p5","class3",0.17005572806895
"p5","class4",0.199300048396918
"p5","class5",0.216827301508105
"p5","class6",0.216827301508105
"p50","class4",0.195944422610731
"p50","class5",0.211692214193459
"p50","class6",0.231140215643767
"p51","class4",0.202310610908105
"p51","class5",0.207078972066438
"p52","class5",0.225696889359817
"p52","class6",0.236642189723002
"p52","class7",0.24777526607637
"p53","class4",0.201593844153767
"p53","class5",0.214470412708116
"p53","class6",0.233571809410616
"p54","class4",0.198849736998174
"p55","class4",0.20148991470258
"p55","class5",0.201763133372032
"p56","class4",0.197178047839498
"p56","class5",0.200021522135388
"p57","class5",0.199435407324201
"p58","class4",0.190700811783676
"p58","class5",0.199153902727968
"p58","class6",0.216682265016667
"p59","class7",0.272195750152626
"p59","class8",0.272195750152626
"p6","class3",0.177791855306735
"p6","class4",0.19358728880468
"p6","class5",0.21956879170137
"p6","class6",0.236780897884932
"p60","class6",0.236128243129614
"p60","class7",0.247007221883562
"p61","class5",0.212759568856963
"p61","class6",0.231303013653995
"p61","class7",0.253824334846381
"p61","class8",0.2664985238
"p62","class6",0.238412957522374
"p62","class7",0.250123194808676
"p63","class5",0.205902645539155
"p63","class6",0.223613118099429
"p64","class4",0.20294497232032
"p64","class5",0.20294497232032
"p64","class6",0.222940680472489
"p65","class4",0.19348729702911
"p65","class5",0.202938468089269
"p65","class6",0.211994648124543
"p66","class4",0.191729419056735
"p66","class5",0.195813052274429
"p67","class4",0.190600501130479
"p67","class5",0.200076128917922
"p68","class3",0.184794623712329
"p68","class4",0.187569198357534
"p69","class3",0.186555921021598
"p69","class4",0.187737938609932
"p7","class4",0.20644035569121
"p7","class5",0.226124243457763
"p7","class6",0.236357907799315
"p70","class3",0.185274867926598
"p70","class4",0.191089780956062
"p71","class4",0.195344405962329
"p72","class4",0.197146088894064
"p73","class4",0.199862469191667
"p74","class3",0.177619638044749
"p74","class4",0.190935829206735
"p75","class3",0.181941400693493
"p75","class4",0.189775239365068
"p76","class3",0.180705491213128
"p76","class4",0.186113304202169
"p77","class3",0.185264790238699
"p77","class4",0.188176915412785
"p78","class3",0.184421224399201
"p78","class4",0.188690214866438
"p79","class3",0.180131123882032
"p79","class4",0.186816145748059
"p8","class4",0.191315858146689
"p8","class5",0.224805519501484
"p8","class6",0.241785071767854
"p8","class7",0.251141056200114
"p80","class3",0.182242515567055
"p80","class4",0.185132175414155
"p81","class3",0.178835794874201
"p81","class4",0.19175112786855
"p82","class3",0.18873921808847
"p82","class4",0.18873921808847
"p83","class3",0.183345342269863
"p83","class4",0.189270630182078
"p84","class4",0.199648935139726
"p84","class5",0.199284248157877
"p85","class4",0.197476639811986
"p85","class5",0.198245771024201
"p86","class5",0.197007610524087
"p87","class4",0.19595772026347
"p87","class5",0.199711677044874
"p88","class4",0.195462889623402
"p88","class5",0.198556981227283
"p89","class4",0.1951341697621
"p89","class5",0.199490308496347
"p9","class3",0.16774704536347
"p9","class4",0.194248177757477
"p9","class5",0.215663354455137
"p9","class6",0.234619042032215
"p9","class7",0.250361732133927
"p90","class4",0.196213401354452
"p90","class5",0.202525838090982
"p90","class6",0.217219259665982
"p91","class5",0.205522538194463
"p91","class6",0.217178899594635
"p92","class4",0.190871706826712
"p92","class5",0.198444280856507
"p93","class4",0.189766645066781
"p94","class4",0.195681917651826
"p94","class5",0.205391284303767
"p95","class5",0.20664492468363
"p96","class5",0.20771206839532
"p96","class6",0.21528887041621
"p97","class4",0.195939134579452
"p97","class5",0.204610700658676
"p98","class4",0.196492118009247
"p98","class5",0.202863021079224
"p99","class4",0.195790971991438
"p99","class5",0.200100373080662
