Region,Demand,Description,Units,MARKAL Tech,Class,Electrification,Fuel,Vintage,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
2,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,12.62,24.37,35.79,42.95,41.51,41.51,40.54,40.12,39.38,38.85
2,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,2.96,5.78,7.62,10.6,10.85,10.95,11.05,11.15,11.25
2,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,0.77,0.77,0.77,0.77,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.06,0.06,0.06,0.06,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,22.35,49.9,80.22,96.23,107.61,117.01,86.69,94.01,97.88,101.27
3,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,0.83,1.62,2.14,2.98,3.06,3.1,3.13,3.17,3.2
3,TL,Light duty vehicles,bn-vmt,TLCELC,Compact car,Electric,ELC,Future,0,0,0,0,4.26,4.26,4.26,4.26,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLCETHX10,Compact car,,E85,2010,0,0,0,0,0,0,0,34.35,34.35,34.35,34.35
3,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,148.35,103.84,60.82,23.74,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,0.3,0.21,0.12,0.05,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,0.05,0.04,0.02,0.01,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,2.51,1.76,1.03,0.4,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,1.98,1.39,0.81,0.32,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,118.55,82.98,48.6,18.97,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,1.25,0.87,0.51,0.2,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,21.56,15.11,8.85,3.45,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,8.8,6.16,3.61,1.41,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,49.53,34.67,20.31,7.93,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,1.2,0.84,0.49,0.19,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,71.56,50.09,29.34,11.45,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,25.34,17.74,10.39,4.05,0,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,29.89,64.5,96.33,117.63,123.19,127.19,127.96,130.82,134.15,137.14
3,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,0.77,0.77,0.77,0.77,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLFETHX10,Full size car,,E85,2010,0,0,0,0,0,0,0,3.08,3.08,3.08,3.08
3,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,Hybrid GSL,2010,0,2.57,2.57,2.57,2.57,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,16.71,29.77,29.77,29.77,26.46,26.5,26.5,26.5,13.09,13.91
3,TL,Light duty vehicles,bn-vmt,TLLSETHX10,Large SUV,,E85,2010,0,0,2.95,16.28,24.76,24.76,22.87,22.23,22.08,35.04,33.98
3,TL,Light duty vehicles,bn-vmt,TLMCCONV10,Mini car,,GSL,2010,0,1.98,3.54,4.49,5.12,4.18,3.75,3.87,3.96,4.08,4.19
3,TL,Light duty vehicles,bn-vmt,TLMCONV10,Minivan,,GSL,2010,0,6.65,6.65,6.65,6.65,5.58,5.58,5.58,5.58,0,5.81
3,TL,Light duty vehicles,bn-vmt,TLMDHEV15,Minivan,Hybrid,Hybrid DSL,2015,0,0,5.21,5.21,5.21,5.21,0,0,0,0,0
