INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechRESSecondaryOutput,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,res.secondary.output,output.ratio,pMult,new.vintage.only
GA,electricity,wind,wind,1975,ELEC_RPS,1,1,1
GA,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
GA,electricity,solar,PV,1975,ELEC_RPS,1,1,1
GA,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
GA,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
GA,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
GA,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
HI,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
HI,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
HI,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
HI,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
HI,electricity,wind,wind,1975,ELEC_RPS,1,1,1
HI,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
HI,electricity,solar,PV,1975,ELEC_RPS,1,1,1
HI,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
HI,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
HI,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
HI,electricity,geothermal,geothermal,1975,ELEC_RPS,1,1,1
HI,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
IA,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
IA,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
IA,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
IA,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
IA,electricity,wind,wind,1975,ELEC_RPS,1,1,1
