INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCoef,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name,new.vintage.only
DC,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,DC,1
DC,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,DC,1
DC,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,DC,1
DC,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,DC,1
DC,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,DC,1
DC,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,DC,1
DC,electricity,wind,wind,1975,ELEC_RPS,0,DC,1
DC,electricity,wind,wind_storage,1975,ELEC_RPS,0,DC,1
DC,electricity,solar,PV,1975,ELEC_RPS,0,DC,1
DC,electricity,solar,PV_storage,1975,ELEC_RPS,0,DC,1
DC,electricity,solar,CSP,1975,ELEC_RPS,0,DC,1
DC,electricity,solar,CSP_storage,1975,ELEC_RPS,0,DC,1
DC,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,DC,1
DE,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,DE,1
DE,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,DE,1
DE,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,DE,1
DE,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,DE,1
DE,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,DE,1
DE,electricity,gas,gas (CC),1975,ELEC_RPS,0,DE,1
DE,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,DE,1
DE,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,DE,1
DE,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,DE,1
DE,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,DE,1
DE,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,DE,1
DE,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,DE,1
DE,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,DE,1
DE,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,DE,1
DE,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,DE,1
DE,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,DE,1
DE,electricity,wind,wind,1975,ELEC_RPS,0,DE,1
DE,electricity,wind,wind_storage,1975,ELEC_RPS,0,DE,1
DE,electricity,solar,PV,1975,ELEC_RPS,0,DE,1
DE,electricity,solar,PV_storage,1975,ELEC_RPS,0,DE,1
DE,electricity,solar,CSP,1975,ELEC_RPS,0,DE,1
DE,electricity,solar,CSP_storage,1975,ELEC_RPS,0,DE,1
