# File: Springmann_FLX_diet.csv
# Title: 2050 Flexitarian (FLX) versus benchmark (BMK) diet
# Units: kcal per person per day
# Source: https://doi.org/10.1016/S2542-5196(18)30206-7
# Column types: ccnn
# ----------
food_group,iso,BMK,FLX
rice,GRC,45.34212436,41.56047232
rice,GSA,640.7964867,397.3945779
rice,GTM,58.87352596,50.87054118
rice,HND,125.9564803,114.640736
rice,HRV,18.41732708,20.41625082
rice,HTI,390.5714893,390.4483687
rice,HUN,41.80330041,40.42008517
rice,IDN,1100.089049,505.8862103
rice,IND,628.9889185,360.6262955
rice,IRL,20.88259595,22.86440215
rice,IRN,244.4374352,157.0315691
rice,IRQ,335.2242822,256.7507449
rice,ISL,26.05555935,40.44968086
rice,ISR,92.37454013,43.22907097
rice,ITP,48.15263125,43.3870494
rice,JAM,361.0685071,307.4601624
rice,JOR,223.1140219,151.2438766
rice,JPN,352.266975,304.614951
rice,KAZ,82.10429554,61.34083841
rice,KEN,168.4230358,89.54997481
rice,KGZ,45.05701266,32.93971619
rice,KHM,1318.5681,676.5738007
rice,KOR,512.7792074,455.2403225
rice,LAO,1337.588654,717.359471
rice,LBN,86.13356996,71.01475368
rice,LBR,740.9342454,534.1343984
rice,LBY,108.4950007,72.28021147
rice,LKA,672.9047912,430.6905553
rice,LSO,66.44638477,34.73325237
rice,MDA,32.34685092,29.61791493
rice,MDG,1251.726679,688.2029874
rice,MEX,55.94555928,39.48017723
rice,MLI,573.1500231,312.3057656
rice,MMR,1039.903099,562.4394464
rice,MNG,62.97285046,41.22238355
rice,MOR,6.975994263,4.31203371
rice,MOZ,206.8787223,126.2726073
rice,MRT,302.517286,128.1999633
rice,MWI,54.36544686,30.81850219
rice,MYS,572.9584151,350.7610549
rice,NAM,53.31975247,32.78586098
rice,NER,243.616418,85.95412199
rice,NGA,273.696126,129.4606934
rice,NIC,409.0032337,273.4615599
rice,NLD,23.71531781,34.68743784
rice,NOR,32.10850067,37.21154012
rice,NPL,712.9688135,355.7440891
rice,NZL,73.33557235,104.4070797
rice,OAO,391.6468104,255.9500442
rice,OBN,11.23658813,7.154940256
rice,OIO,397.1359741,348.1431788
rice,OPO,366.6412368,245.1250925
rice,OSA,862.845961,642.9794929
rice,PAK,153.4352351,126.9715908
rice,PAN,542.0824421,456.1214762
rice,PER,480.4226695,283.7642815
rice,PHL,1081.803361,717.6963018
rice,PNG,0.009420126,0.000561548
rice,POL,14.62543273,11.82200025
rice,PRK,729.5575504,628.6697768
rice,PRT,133.7316896,137.2660527
rice,PRY,71.01006828,57.02696107
rice,PSE,163.9810023,113.0583646
rice,RAP,503.9066791,211.3507697
rice,ROU,32.82116224,24.38070259
rice,RUS,39.62206842,36.02873435
rice,RWA,131.2858666,54.35365819
rice,SAU,291.6446126,206.6427409
rice,SDN,32.95898114,21.1683597
rice,SEN,818.9621886,383.7211591
rice,SLB,576.6727441,297.1712431
rice,SLE,931.547204,566.6582605
rice,SLV,87.26906272,80.80662985
rice,SOM,14.51540051,49.47825985
rice,SPP,50.78549435,60.19887412
rice,SVK,40.42314156,47.05806188
rice,SVN,26.27214502,23.04041638
rice,SWE,44.22838544,59.79109141
rice,SWZ,316.3405541,176.3878548
rice,SYR,124.7697448,81.94882526
rice,TCD,149.9903317,73.9127294
rice,TGO,311.5242047,156.2853419
rice,THA,959.9606977,536.7736124
rice,TJK,43.15576359,35.38616089
rice,TKM,110.7794257,78.17159218
rice,TLS,799.1548187,377.8755225
rice,TUN,18.21730418,9.724662884
rice,TUR,59.98538598,42.79960355
rice,TZA,265.0554218,155.3169623
rice,UGA,61.17749149,37.84754798
rice,UKP,41.28075808,42.82000513
rice,UKR,31.36052994,24.98566299
rice,URY,159.7747543,132.1491736
rice,USA,59.85976539,69.1007833
rice,UZB,58.75942814,40.12506396
rice,VEN,175.0864336,183.5585404
rice,VNM,1109.212999,623.0170691
rice,VUT,590.028086,158.2663636
rice,YEM,130.3690957,107.0135341
rice,ZAF,248.2722488,117.8911099
rice,ZMB,67.02279173,28.70991289
rice,ZWE,30.74751272,17.44693331
maize,all-r,123.5758632,76.30518938
maize,HIC,47.32473986,48.83392768
maize,LMC,83.41043725,46.22358941
maize,UMC,226.9424446,164.4793463
maize,LIC,224.6969851,124.7714534
maize,AFG,36.8369502,24.18956178
maize,AGO,347.9837786,199.6748894
maize,ALB,13.14517363,12.75438244
maize,ARG,68.99130519,69.46039698
maize,ARM,0.218734686,0.187903769
maize,AUS,25.20516079,39.28341478
maize,AUT,57.11672637,51.18282181
maize,AZE,48.02650841,28.82010354
maize,BDI,219.4320206,123.5199086
maize,BEN,301.2220564,122.9382433
maize,BFA,312.2262484,144.9340926
maize,BGD,31.35999321,12.20630932
maize,BGR,97.22983209,101.38224
maize,BLR,1.288370524,1.505353686
maize,BLT,5.631715036,6.41851983
maize,BLX,11.80256743,14.84711154
maize,BLZ,160.8235614,146.694486
maize,BOL,225.0477081,192.0293351
maize,BRA,164.3046804,142.1467798
maize,BTN,735.0507899,467.3773797
maize,BWA,301.9137545,255.9569602
maize,CAF,292.8865839,174.2772551
maize,CAN,88.58092463,90.66717203
maize,CHL,135.0884068,117.4467469
maize,CHM,36.57000554,15.42439216
maize,CHP,10.69693789,14.00888969
maize,CIV,150.7439412,75.46934469
maize,CMR,273.5625582,161.1981928
maize,COD,101.4304821,89.46101437
maize,COG,48.21211007,26.38024361
maize,COL,255.5256395,231.0879136
maize,CRB,42.02093892,38.78928454
maize,CRI,80.36347936,75.55213692
maize,CUB,184.3228743,123.4748396
maize,CYP,6.007204982,14.66239387
maize,DEU,60.23889617,69.32842134
maize,DJI,6.434054877,5.360092386
maize,DNK,11.54268906,14.40825449
maize,DOM,44.43889221,61.97794029
maize,DZA,70.811774,49.03311239
maize,ECU,27.34046542,26.94782723
maize,EGY,371.8488312,194.6945421
maize,ERI,38.93744634,21.34593889
maize,ETH,293.2664341,128.4399889
maize,FJI,2.572393091,1.31012479
maize,FRP,57.45243164,72.77009388
maize,GAB,122.6899775,65.28557789
maize,GEO,101.5530122,74.7517343
maize,GHA,177.2535247,81.25589328
maize,GIN,70.7670452,31.72803576
maize,GMB,58.26389935,32.94918766
maize,GNB,131.1727196,77.45490556
maize,GNQ,,167.866382
maize,GRC,10.73218888,9.837096192
maize,GSA,9.976059622,6.18672556
maize,GTM,589.0176351,508.9494025
maize,HND,527.6594748,480.2553261
maize,HRV,63.74030208,70.65835282
maize,HTI,144.4761715,144.430628
maize,HUN,1.136456897,1.09885306
maize,IDN,304.7552733,140.1445551
maize,IND,37.10556261,21.2742088
maize,IRL,60.94043553,66.72382252
maize,IRN,10.68446689,6.863918366
maize,IRQ,2.125671013,1.628067073
maize,ISR,118.3994635,55.4081114
maize,ITP,18.75479578,16.89866638
maize,JAM,46.19297335,39.3346382
maize,JOR,9.029623054,6.120974302
maize,JPN,60.00304613,51.88628583
maize,KAZ,3.746535762,2.799069687
maize,KEN,740.0259891,393.4693872
maize,KGZ,114.926892,84.01931202
maize,KHM,114.3559452,58.67746724
maize,KOR,56.59489295,50.24438774
maize,LAO,104.1355391,55.84872073
maize,LBN,1.133283275,0.934360815
maize,LBR,11.58189517,8.349308524
