# File: A_FLX_FuelPrefElast.csv
# Title: Fuel preference elasticities used in the FLX scenario
# Description: Fuel pref elasticities are adjusted to hit target shares of caloric consumption in 2050
# Source: none
# Units: unitless
# Column types: cccn
# ----------
region,supplysector,subsector,fuelprefElasticity
Colombia,FoodDemand_Crops,Rice,0.404537572
Colombia,FoodDemand_Crops,RootTuber,0.227948594
Colombia,FoodDemand_Crops,Soybean,0.276538542
Colombia,FoodDemand_Crops,SugarCrop,0.124875504
Colombia,FoodDemand_Crops,Vegetables,1.381180773
Colombia,FoodDemand_Crops,Wheat,0.218669099
Colombia,FoodDemand_Meat,Beef,0.332246016
Colombia,FoodDemand_Meat,Dairy,0.878285661
Colombia,FoodDemand_Meat,OtherMeat_Fish,0.680456111
Colombia,FoodDemand_Meat,Pork,0.080188657
Colombia,FoodDemand_Meat,Poultry,0.177435705
Colombia,FoodDemand_Meat,SheepGoat,0.177768428
EU-12,FoodDemand_Crops,Corn,0.110093395
EU-12,FoodDemand_Crops,FiberCrop,0
EU-12,FoodDemand_Crops,Fruits,0.206538257
EU-12,FoodDemand_Crops,Legumes,1.504223754
EU-12,FoodDemand_Crops,MiscCrop,0
EU-12,FoodDemand_Crops,NutsSeeds,1.309182169
EU-12,FoodDemand_Crops,OilCrop,0.241189513
EU-12,FoodDemand_Crops,OtherGrain,0.038686575
EU-12,FoodDemand_Crops,PalmFruit,0.120331905
EU-12,FoodDemand_Crops,Rice,0.131486259
EU-12,FoodDemand_Crops,RootTuber,0.067910631
EU-12,FoodDemand_Crops,Soybean,0.34048165
EU-12,FoodDemand_Crops,SugarCrop,0.031430091
EU-12,FoodDemand_Crops,Vegetables,0.187498933
EU-12,FoodDemand_Crops,Wheat,0.050729361
EU-12,FoodDemand_Meat,Beef,0.49743124
EU-12,FoodDemand_Meat,Dairy,1.219493616
EU-12,FoodDemand_Meat,OtherMeat_Fish,0.751218306
EU-12,FoodDemand_Meat,Pork,0.178809215
EU-12,FoodDemand_Meat,Poultry,0.90202805
EU-12,FoodDemand_Meat,SheepGoat,0.415033485
EU-15,FoodDemand_Crops,Corn,0.16663583
EU-15,FoodDemand_Crops,FiberCrop,0
EU-15,FoodDemand_Crops,Fruits,0.212963586
EU-15,FoodDemand_Crops,Legumes,2.196833122
EU-15,FoodDemand_Crops,MiscCrop,0
EU-15,FoodDemand_Crops,NutsSeeds,0.916154724
EU-15,FoodDemand_Crops,OilCrop,0.333307229
EU-15,FoodDemand_Crops,OtherGrain,0.283118887
EU-15,FoodDemand_Crops,PalmFruit,0.252605086
EU-15,FoodDemand_Crops,Rice,0.194374228
EU-15,FoodDemand_Crops,RootTuber,0.224748292
EU-15,FoodDemand_Crops,Soybean,0.179642352
EU-15,FoodDemand_Crops,SugarCrop,0.062049904
EU-15,FoodDemand_Crops,Vegetables,0.43048507
EU-15,FoodDemand_Crops,Wheat,0.11779886
EU-15,FoodDemand_Meat,Beef,0.380257055
EU-15,FoodDemand_Meat,Dairy,1.593801369
EU-15,FoodDemand_Meat,OtherMeat_Fish,1.17010851
EU-15,FoodDemand_Meat,Pork,0.24199325
EU-15,FoodDemand_Meat,Poultry,1.393565992
EU-15,FoodDemand_Meat,SheepGoat,0.31510793
Europe_Eastern,FoodDemand_Crops,Corn,0.034876217
Europe_Eastern,FoodDemand_Crops,Fruits,0.498382771
Europe_Eastern,FoodDemand_Crops,Legumes,2.053205901
Europe_Eastern,FoodDemand_Crops,MiscCrop,0
Europe_Eastern,FoodDemand_Crops,NutsSeeds,2.677085973
Europe_Eastern,FoodDemand_Crops,OilCrop,0.346130643
Europe_Eastern,FoodDemand_Crops,OtherGrain,0.061148351
Europe_Eastern,FoodDemand_Crops,PalmFruit,0.545103339
Europe_Eastern,FoodDemand_Crops,Rice,0.206455682
Europe_Eastern,FoodDemand_Crops,RootTuber,0.135906935
Europe_Eastern,FoodDemand_Crops,Soybean,1.105789117
Europe_Eastern,FoodDemand_Crops,SugarCrop,0.052071978
Europe_Eastern,FoodDemand_Crops,Vegetables,0.278810509
Europe_Eastern,FoodDemand_Crops,Wheat,0.125357498
Europe_Eastern,FoodDemand_Meat,Beef,0.909346024
Europe_Eastern,FoodDemand_Meat,Dairy,1.301279694
Europe_Eastern,FoodDemand_Meat,OtherMeat_Fish,0.969271353
Europe_Eastern,FoodDemand_Meat,Pork,0.176971189
Europe_Eastern,FoodDemand_Meat,Poultry,0.565865928
Europe_Eastern,FoodDemand_Meat,SheepGoat,0.569490971
Europe_Non_EU,FoodDemand_Crops,Corn,0.071189169
Europe_Non_EU,FoodDemand_Crops,FiberCrop,0
Europe_Non_EU,FoodDemand_Crops,Fruits,0.241079503
Europe_Non_EU,FoodDemand_Crops,Legumes,0.771749207
Europe_Non_EU,FoodDemand_Crops,MiscCrop,0
Europe_Non_EU,FoodDemand_Crops,NutsSeeds,0.994972941
Europe_Non_EU,FoodDemand_Crops,OilCrop,0.541709303
Europe_Non_EU,FoodDemand_Crops,OtherGrain,0.161616169
Europe_Non_EU,FoodDemand_Crops,PalmFruit,0.171985107
Europe_Non_EU,FoodDemand_Crops,Rice,0.15844664
Europe_Non_EU,FoodDemand_Crops,RootTuber,0.183279281
Europe_Non_EU,FoodDemand_Crops,Soybean,0.532860661
Europe_Non_EU,FoodDemand_Crops,SugarCrop,0.114800247
Europe_Non_EU,FoodDemand_Crops,Vegetables,0.326019397
Europe_Non_EU,FoodDemand_Crops,Wheat,0.115939698
Europe_Non_EU,FoodDemand_Meat,Beef,0.139282853
Europe_Non_EU,FoodDemand_Meat,Dairy,0.334736635
Europe_Non_EU,FoodDemand_Meat,OtherMeat_Fish,0.954246393
Europe_Non_EU,FoodDemand_Meat,Pork,0.00884625
Europe_Non_EU,FoodDemand_Meat,Poultry,0.178748039
Europe_Non_EU,FoodDemand_Meat,SheepGoat,0.312062498
European Free Trade Association,FoodDemand_Crops,Corn,0
European Free Trade Association,FoodDemand_Crops,FiberCrop,0
European Free Trade Association,FoodDemand_Crops,Fruits,0.319471082
European Free Trade Association,FoodDemand_Crops,Legumes,2.717698477
European Free Trade Association,FoodDemand_Crops,MiscCrop,0
European Free Trade Association,FoodDemand_Crops,NutsSeeds,1.25229376
European Free Trade Association,FoodDemand_Crops,OilCrop,0.669958986
European Free Trade Association,FoodDemand_Crops,OtherGrain,0.410033675
European Free Trade Association,FoodDemand_Crops,PalmFruit,0.410352901
European Free Trade Association,FoodDemand_Crops,Rice,0.385899459
European Free Trade Association,FoodDemand_Crops,RootTuber,0.623469948
European Free Trade Association,FoodDemand_Crops,Soybean,0.542416413
European Free Trade Association,FoodDemand_Crops,SugarCrop,0.087992526
European Free Trade Association,FoodDemand_Crops,Vegetables,0.950915922
European Free Trade Association,FoodDemand_Crops,Wheat,0.315467363
European Free Trade Association,FoodDemand_Meat,Beef,0.427879673
European Free Trade Association,FoodDemand_Meat,Dairy,1.268258112
European Free Trade Association,FoodDemand_Meat,OtherMeat_Fish,1.183365399
European Free Trade Association,FoodDemand_Meat,Pork,0.393443562
European Free Trade Association,FoodDemand_Meat,Poultry,1.404343378
European Free Trade Association,FoodDemand_Meat,SheepGoat,0.891787728
India,FoodDemand_Crops,Corn,0.033369491
India,FoodDemand_Crops,FiberCrop,0
India,FoodDemand_Crops,Fruits,0.217802369
India,FoodDemand_Crops,Legumes,0.225152687
India,FoodDemand_Crops,MiscCrop,0
India,FoodDemand_Crops,NutsSeeds,0.506739685
India,FoodDemand_Crops,OilCrop,0.749549766
India,FoodDemand_Crops,OtherGrain,0.039069595
India,FoodDemand_Crops,PalmFruit,0.107302035
India,FoodDemand_Crops,Rice,0.045715904
India,FoodDemand_Crops,RootTuber,0.062641926
India,FoodDemand_Crops,Soybean,0.344052034
India,FoodDemand_Crops,SugarCrop,0.059207429
India,FoodDemand_Crops,Vegetables,0.561914616
India,FoodDemand_Crops,Wheat,0.043570241
India,FoodDemand_Meat,Beef,0.192981062
India,FoodDemand_Meat,Dairy,0.070050789
India,FoodDemand_Meat,OtherMeat_Fish,0.345150392
India,FoodDemand_Meat,Pork,0.197114042
India,FoodDemand_Meat,Poultry,0.214358674
India,FoodDemand_Meat,SheepGoat,0.196309389
Indonesia,FoodDemand_Crops,Corn,0.053835023
Indonesia,FoodDemand_Crops,FiberCrop,0
Indonesia,FoodDemand_Crops,Fruits,0.236049199
Indonesia,FoodDemand_Crops,Legumes,1
