# File: bld_tech_scenarios.csv
# Title: Parameter adjustments to define the buildings scenarios
# Units: various
# Comments: This is intended as a single control table for scenario differentiation
# Source: harmonization exercise with Scout
# Column types: cccccccni
# ----------
scenario,gcam.consumer,supplysector,subsector,technology,variable,value,adj_factor,rule_number
HiTech,,resid heating,electricity,electric heat pump,efficiency,,1.1,
HiTech,,resid heating,electricity,electric furnace,share.weight,0,,
HiTech,,resid heating,gas,,from.year,2025,,1
HiTech,,resid heating,gas,,to.value,0,,1
HiTech,,resid heating,gas,,to.year,2041,,1
HiTech,,resid heating,gas,,interpolation.function,linear,,1
HiTech,,resid heating,gas,,from.year,2040,,2
HiTech,,resid heating,gas,,to.value,0,,2
HiTech,,resid heating,gas,,to.year,2050,,2
HiTech,,resid heating,gas,,interpolation.function,linear,,2
HiTech,,resid heating,refined liquids,,from.year,2025,,1
HiTech,,resid heating,refined liquids,,to.value,0,,1
HiTech,,resid heating,refined liquids,,to.year,2036,,1
HiTech,,resid heating,refined liquids,,interpolation.function,linear,,1
HiTech,,resid heating,refined liquids,,from.year,2035,,2
HiTech,,resid heating,refined liquids,,to.value,0,,2
HiTech,,resid heating,refined liquids,,to.year,2051,,2
HiTech,,resid heating,refined liquids,,interpolation.function,fixed,,2
HiTech,,resid heating,biomass,,from.year,2025,,1
HiTech,,resid heating,biomass,,to.value,0,,1
HiTech,,resid heating,biomass,,to.year,2036,,1
HiTech,,resid heating,biomass,,interpolation.function,linear,,1
HiTech,,resid heating,biomass,,from.year,2035,,2
HiTech,,resid heating,biomass,,to.value,0,,2
HiTech,,resid heating,biomass,,to.year,2051,,2
HiTech,,resid heating,biomass,,interpolation.function,fixed,,2
HiTech,,resid hot water,electricity,electric resistance water heater,share.weight,0,,
HiTech,,resid hot water,electricity,electric resistance water heater hi-eff,share.weight,0,,
HiTech,,resid hot water,gas,,from.year,2025,,1
HiTech,,resid hot water,gas,,to.value,0,,1
HiTech,,resid hot water,gas,,to.year,2041,,1
HiTech,,resid hot water,gas,,interpolation.function,linear,,1
HiTech,,resid hot water,gas,,from.year,2040,,2
HiTech,,resid hot water,gas,,to.value,0,,2
HiTech,,resid hot water,gas,,to.year,2060,,2
HiTech,,resid hot water,gas,,interpolation.function,fixed,,2
HiTech,,resid hot water,refined liquids,,from.year,2025,,1
HiTech,,resid hot water,refined liquids,,to.value,0,,1
HiTech,,resid hot water,refined liquids,,to.year,2036,,1
HiTech,,resid hot water,refined liquids,,interpolation.function,linear,,1
HiTech,,resid hot water,refined liquids,,from.year,2035,,2
HiTech,,resid hot water,refined liquids,,to.value,0,,2
HiTech,,resid hot water,refined liquids,,to.year,2051,,2
HiTech,,resid hot water,refined liquids,,interpolation.function,fixed,,2
HiTech,,resid refrigerators,electricity,,efficiency,,1.07,
Breakthru,comm,,,,shell.conductance,,0.85,
Breakthru,resid,,,,shell.conductance,,0.85,
Breakthru,,comm cooking,electricity,,input.cost,,0.8,
Breakthru,,comm cooking,gas,,from.year,2025,,1
Breakthru,,comm cooking,gas,,to.value,0,,1
Breakthru,,comm cooking,gas,,to.year,2051,,1
Breakthru,,comm cooking,gas,,interpolation.function,linear,,1
Breakthru,,comm heating,electricity,electric furnace,from.year,2025,,1
Breakthru,,comm heating,electricity,electric furnace,to.value,0,,1
Breakthru,,comm heating,electricity,electric furnace,to.year,2051,,1
Breakthru,,comm heating,electricity,electric furnace,interpolation.function,linear,,1
Breakthru,,comm heating,electricity,electric heat pump,input.cost,,0.8,
Breakthru,,comm heating,gas,,from.year,2025,,1
Breakthru,,comm heating,gas,,to.value,0,,1
Breakthru,,comm heating,gas,,to.year,2036,,1
Breakthru,,comm heating,gas,,interpolation.function,linear,,1
Breakthru,,comm heating,gas,,from.year,2035,,2
Breakthru,,comm heating,gas,,to.value,0,,2
Breakthru,,comm heating,gas,,to.year,2100,,2
Breakthru,,comm heating,gas,,interpolation.function,fixed,,2
Breakthru,,comm heating,refined liquids,,from.year,2025,,1
Breakthru,,comm heating,refined liquids,,to.value,0,,1
Breakthru,,comm heating,refined liquids,,to.year,2036,,1
Breakthru,,comm heating,refined liquids,,interpolation.function,linear,,1
Breakthru,,comm heating,refined liquids,,from.year,2035,,2
Breakthru,,comm heating,refined liquids,,to.value,0,,2
Breakthru,,comm heating,refined liquids,,to.year,2100,,2
Breakthru,,comm heating,refined liquids,,interpolation.function,fixed,,2
Breakthru,,comm heating,biomass,,from.year,2025,,1
Breakthru,,comm heating,biomass,,to.value,0,,1
Breakthru,,comm heating,biomass,,to.year,2051,,1
Breakthru,,comm heating,biomass,,interpolation.function,linear,,1
Breakthru,,comm hot water,electricity,electric heat pump water heater,input.cost,,0.85,
Breakthru,,comm hot water,gas,,from.year,2025,,1
Breakthru,,comm hot water,gas,,to.value,0,,1
Breakthru,,comm hot water,gas,,to.year,2036,,1
Breakthru,,comm hot water,gas,,interpolation.function,linear,,1
Breakthru,,comm hot water,gas,,from.year,2035,,2
Breakthru,,comm hot water,gas,,to.year,2100,,2
Breakthru,,comm hot water,gas,,to.value,0,,2
Breakthru,,comm hot water,gas,,interpolation.function,fixed,,2
Breakthru,,comm hot water,refined liquids,,from.year,2025,,1
Breakthru,,comm hot water,refined liquids,,to.value,0,,1
Breakthru,,comm hot water,refined liquids,,to.year,2080,,1
Breakthru,,comm hot water,refined liquids,,interpolation.function,linear,,1
Breakthru,,comm lighting,electricity,,efficiency,,1.15,
Breakthru,,comm office,electricity,,efficiency,,1.15,
Breakthru,,comm refrigeration,electricity,,efficiency,,1.2,
Breakthru,,comm cooling,electricity,,efficiency,,1.5,
Breakthru,,comm heating,electricity,electric heat pump,efficiency,,1.5,
Breakthru,,comm other,electricity,,input.cost,,0.8,
Breakthru,,comm other,refined liquids,,from.year,2025,,1
Breakthru,,comm other,refined liquids,,to.value,0,,1
Breakthru,,comm other,refined liquids,,to.year,2080,,1
Breakthru,,comm other,refined liquids,,interpolation.function,linear,,1
Breakthru,,comm non-building,,,input.cost,,0.6,
Breakthru,,resid clothes washers,electricity,,efficiency,,1.16,
Breakthru,,resid computers,electricity,,efficiency,,1.05,
Breakthru,,resid cooling,electricity,,efficiency,,1.5,
Breakthru,,resid cooking,electricity,,efficiency,,1.3,
Breakthru,,resid cooking,gas,,from.year,2025,,1
Breakthru,,resid cooking,gas,,to.value,0,,1
Breakthru,,resid cooking,gas,,to.year,2036,,1
Breakthru,,resid cooking,gas,,interpolation.function,linear,,1
Breakthru,,resid cooking,gas,,from.year,2035,,2
Breakthru,,resid cooking,gas,,to.value,0,,2
Breakthru,,resid cooking,gas,,to.year,2100,,2
Breakthru,,resid cooking,gas,,interpolation.function,fixed,,2
Breakthru,,resid dishwashers,electricity,dishwasher hi-eff,share.weight,1.4,,
Breakthru,,resid freezers,electricity,,efficiency,,1.07,
Breakthru,,resid heating,electricity,electric heat pump,efficiency,,1.5,
Breakthru,,resid heating,electricity,electric furnace,share.weight,0,,
Breakthru,,resid heating,gas,,from.year,2025,,1
Breakthru,,resid heating,gas,,to.value,0,,1
Breakthru,,resid heating,gas,,to.year,2041,,1
Breakthru,,resid heating,gas,,interpolation.function,linear,,1
Breakthru,,resid heating,gas,,from.year,2040,,2
Breakthru,,resid heating,gas,,to.value,0,,2
Breakthru,,resid heating,gas,,to.year,2050,,2
Breakthru,,resid heating,gas,,interpolation.function,linear,,2
Breakthru,,resid heating,refined liquids,,from.year,2025,,1
Breakthru,,resid heating,refined liquids,,to.value,0,,1
Breakthru,,resid heating,refined liquids,,to.year,2036,,1
Breakthru,,resid heating,refined liquids,,interpolation.function,linear,,1
Breakthru,,resid heating,refined liquids,,from.year,2035,,2
Breakthru,,resid heating,refined liquids,,to.value,0,,2
Breakthru,,resid heating,refined liquids,,to.year,2051,,2
Breakthru,,resid heating,refined liquids,,interpolation.function,fixed,,2
Breakthru,,resid heating,biomass,,from.year,2025,,1
Breakthru,,resid heating,biomass,,to.value,0,,1
Breakthru,,resid heating,biomass,,to.year,2036,,1
Breakthru,,resid heating,biomass,,interpolation.function,linear,,1
Breakthru,,resid heating,biomass,,from.year,2035,,2
Breakthru,,resid heating,biomass,,to.value,0,,2
Breakthru,,resid heating,biomass,,to.year,2051,,2
Breakthru,,resid heating,biomass,,interpolation.function,fixed,,2
Breakthru,,resid hot water,electricity,electric resistance water heater,share.weight,0,,
Breakthru,,resid hot water,electricity,electric resistance water heater hi-eff,share.weight,0,,
Breakthru,,resid hot water,gas,,from.year,2025,,1
Breakthru,,resid hot water,gas,,to.value,0,,1
Breakthru,,resid hot water,gas,,to.year,2041,,1
Breakthru,,resid hot water,gas,,interpolation.function,linear,,1
Breakthru,,resid hot water,gas,,from.year,2040,,2
Breakthru,,resid hot water,gas,,to.value,0,,2
Breakthru,,resid hot water,gas,,to.year,2060,,2
Breakthru,,resid hot water,gas,,interpolation.function,fixed,,2
Breakthru,,resid hot water,refined liquids,,from.year,2025,,1
Breakthru,,resid hot water,refined liquids,,to.value,0,,1
Breakthru,,resid hot water,refined liquids,,to.year,2036,,1
Breakthru,,resid hot water,refined liquids,,interpolation.function,linear,,1
Breakthru,,resid hot water,refined liquids,,from.year,2035,,2
Breakthru,,resid hot water,refined liquids,,to.value,0,,2
Breakthru,,resid hot water,refined liquids,,to.year,2051,,2
Breakthru,,resid hot water,refined liquids,,interpolation.function,fixed,,2
Breakthru,,resid lighting,electricity,,efficiency,,1.2,
Breakthru,,resid refrigerators,electricity,,efficiency,,1.07,
