# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccinn
# ----------
state,sector,fuel,service,technology,year,share,energy
California,comm,electricity,cooling,air conditioning,2015,0.0906017,0.0466897
California,comm,electricity,heating,electric furnace,2015,0.0150943,0.0077785
California,comm,electricity,heating,electric heat pump,2015,0.0062304,0.0032107
California,comm,electricity,hot water,electric heat pump water heater,2015,6.66e-5,3.43e-5
California,comm,electricity,hot water,electric resistance water heater,2015,0.0044092,0.0022722
California,comm,electricity,lighting,lighting,2015,0.1012939,0.0521998
California,comm,electricity,office,office equipment,2015,0.1539409,0.0793303
California,comm,electricity,other,electricity,2015,0.359144,0.1850776
California,comm,electricity,refrigeration,refrigeration,2015,0.125913,0.0648867
California,comm,electricity,ventilation,ventilation,2015,0.1233993,0.0635913
California,comm,gas,cooking,gas range,2015,0.1883383,0.0459439
California,comm,gas,cooling,gas cooling,2015,0.0056436,0.0013767
California,comm,gas,heating,gas furnace,2015,0.3680899,0.0897931
California,comm,gas,hot water,gas water heater,2015,0.2871565,0.0700499
California,comm,gas,other,gas,2015,0.1507718,0.0367798
California,comm,refined liquids,heating,fuel furnace,2015,6.616e-4,1.2e-6
California,comm,refined liquids,hot water,fuel water heater,2015,2.467e-4,4e-7
California,comm,refined liquids,other,refined liquids,2015,0.9990916,0.0017497
California,resid,biomass,heating,wood furnace,2015,1,0.0451215
California,resid,electricity,clothes dryers,clothes dryer,2015,0.0468548,0.0146992
California,resid,electricity,clothes washers,clothes washer,2015,0.0109575,0.0034376
California,resid,electricity,computers,electricity,2015,0.0444037,0.0139303
California,resid,electricity,cooking,electric oven,2015,0.0107881,0.0033844
California,resid,electricity,cooling,air conditioning,2015,0.1308873,0.0410618
California,resid,electricity,dishwashers,dishwasher,2015,0.0087413,0.0027423
California,resid,electricity,freezers,freezer,2015,0.0190326,0.0059709
California,resid,electricity,furnace fans,electricity,2015,0.0160792,0.0050444
California,resid,electricity,heating,electric furnace,2015,0.0528138,0.0165687
California,resid,electricity,heating,electric heat pump,2015,0.0170465,0.0053478
California,resid,electricity,hot water,electric resistance water heater,2015,0.0675116,0.0211796
California,resid,electricity,lighting,lighting,2015,0.1520687,0.0477068
California,resid,electricity,other,electricity,2015,0.3190604,0.1000952
California,resid,electricity,refrigerators,refrigerator,2015,0.1037544,0.0325497
California,resid,gas,clothes dryers,clothes dryer,2015,0.0140595,0.0057114
California,resid,gas,cooking,gas oven,2015,0.0331768,0.0134776
California,resid,gas,cooling,air conditioning,2015,0.0071718,0.0029134
California,resid,gas,heating,gas furnace,2015,0.4944305,0.2008549
California,resid,gas,hot water,gas water heater,2015,0.3503383,0.1423196
California,resid,gas,other,gas,2015,0.1008232,0.0409579
California,resid,refined liquids,cooking,lpg oven,2015,0.0718775,0.0014788
California,resid,refined liquids,heating,fuel furnace,2015,0.2941103,0.0060508
California,resid,refined liquids,hot water,fuel water heater,2015,0.352011,0.0072421
California,resid,refined liquids,other,refined liquids,2015,0.2820012,0.0058017
Colorado,comm,electricity,cooking,electric range,2015,0.0178859,0.0014608
Colorado,comm,electricity,cooling,air conditioning,2015,0.034003,0.0027772
Colorado,comm,electricity,heating,electric furnace,2015,0.0185723,0.0015169
Colorado,comm,electricity,heating,electric heat pump,2015,0.0073837,6.031e-4
Colorado,comm,electricity,hot water,electric heat pump water heater,2015,9.5e-6,8e-7
Colorado,comm,electricity,hot water,electric resistance water heater,2015,0.0023322,1.905e-4
Colorado,comm,electricity,lighting,lighting,2015,0.0784529,0.0064077
Colorado,comm,electricity,office,office equipment,2015,0.1084386,0.0088568
Colorado,comm,electricity,other,electricity,2015,0.5797283,0.0473496
Colorado,comm,electricity,refrigeration,refrigeration,2015,0.0785991,0.0064196
Colorado,comm,electricity,ventilation,ventilation,2015,0.0745946,0.0060925
Colorado,comm,gas,cooking,gas range,2015,0.057867,0.0035309
Colorado,comm,gas,cooling,gas cooling,2015,0.0021151,1.291e-4
