"sourceTypeModelYearID";"sourceTypeID";"modelYearID";"fuelTypeID";"engTechID";"regClassID";"stmyFuelEngFraction";"stmyFraction"
512050;51;2050;2;1;47;0.9734775688743469;0.9704814224328766
512050;51;2050;2;1;46;0.026522431125653067;0.02644080100886655
312011;31;2011;1;1;40;0.01887278705009693;0.018494969690223156
532013;53;2013;1;1;42;0.42744095226666096;0.0
522050;52;2050;1;1;46;0.11112493753889115;0.03583902040887401
522050;52;2050;1;1;42;0.477147463711114;0.15388533005024463
522050;52;2050;2;1;46;0.22898279659357243;0.1551333141808062
522050;52;2050;2;1;47;0.1780650405434823;0.12063709715398523
522050;52;2050;2;1;42;0.28322614762818166;0.1918825850581626
312010;31;2010;2;1;40;0.5072269518976169;0.006516599888030779
532003;53;2003;1;1;46;0.24051521666394374;0.0
532050;53;2050;2;1;47;0.275255116470717;0.275255116470717
532050;53;2050;2;1;42;0.1869942841365447;0.1869942841365447
312010;31;2010;1;1;40;0.011149717229284494;0.011006471201493376
532050;53;2050;2;1;46;0.27380695466085764;0.27380695466085764
542050;54;2050;1;1;42;0.39397013046063445;0.19698506523031722
542050;54;2050;1;1;47;0.03871847784267777;0.019359238921338884
542050;54;2050;1;1;41;0.26966527928369066;0.13483263964184533
542050;54;2050;1;1;46;0.2976461124129971;0.14882305620649855
542050;54;2050;2;1;46;0.2976461124129971;0.14882305620649855
542050;54;2050;2;1;42;0.39397013046063445;0.19698506523031722
542050;54;2050;2;1;47;0.03871847784267777;0.019359238921338884
542050;54;2050;2;1;41;0.26966527928369066;0.13483263964184533
612050;61;2050;1;1;47;1.0;0.0
612050;61;2050;2;1;47;0.7612820482064537;0.7612820482064537
311960;31;1960;1;1;40;0.19161599874496463;0.1889487041298996
622050;62;2050;2;1;47;0.9588326604493954;0.9588326604493954
212050;21;2050;5;1;20;1.0;0.050898341245254594
312050;31;2050;5;1;30;1.0;0.18989596388658805
322050;32;2050;5;1;30;1.0;0.17620410151291474
212050;21;2050;9;30;20;1.0;0.0
312050;31;2050;9;30;30;1.0;0.0
322050;32;2050;9;30;30;1.0;0.0
312009;31;2009;2;1;40;0.5343345898182532;0.00827147645661243
111960;11;1960;1;1;10;1.0;1.0
411960;41;1960;2;1;47;0.6709677419354839;0.6709677419354839
411960;41;1960;2;1;41;0.1870967741935484;0.1870967741935484
411960;41;1960;2;1;42;0.01935483870967742;0.01935483870967742
411960;41;1960;2;1;46;0.12258064516129032;0.12258064516129032
421960;42;1960;1;1;47;1.0;0.009615384615384616
532012;53;2012;1;1;42;0.42744095226666096;0.0
532011;53;2011;1;1;42;0.42744095226666096;0.0
421960;42;1960;2;1;48;1.0;0.9903846153846154
421960;42;1960;3;1;48;1.0;0.0
431960;43;1960;1;1;42;0.006418485237483954;0.006038647342995169
431960;43;1960;1;1;46;0.938382541720154;0.8828502415458938
431960;43;1960;1;1;41;0.010269576379974325;0.00966183574879227
431960;43;1960;1;1;47;0.044929396662387676;0.042270531400966184
532010;53;2010;1;1;42;0.42744095226666096;0.0
431960;43;1960;2;1;46;0.9387755102040817;0.05555555555555555
431960;43;1960;2;1;47;0.04081632653061224;0.0024154589371980675
431960;43;1960;2;1;41;0.02040816326530612;0.0012077294685990338
541960;54;1960;1;1;46;0.297029702970297;0.25210084033613445
541960;54;1960;1;1;42;0.39603960396039606;0.33613445378151263
