"sourceTypeID";"yearID";"ageID";"ageFraction"
51;1999;13;0.019737829632163542
51;1999;12;0.02591459945888226
51;1999;11;0.031822973519213836
51;1999;10;0.046945752339217835
51;1999;9;0.03510224630737205
51;1999;8;0.04713373379019977
51;1999;7;0.03451007903490133
51;1999;6;0.03959896712011247
51;1999;5;0.07477645281811945
51;1999;4;0.10307113855843913
51;1999;3;0.0848806203496049
51;1999;2;0.0658660296083007
51;1999;1;0.11400255217306703
51;1999;0;0.12206830800074911
43;1999;30;0.001961822083975255
43;1999;29;0.004211520459657382
43;1999;28;0.00655746324618828
43;1999;27;0.0068784398963003665
43;1999;26;0.009759863683516522
43;1999;25;0.00952816082136968
43;1999;24;0.012508087479763142
43;1999;23;0.009953885048551128
43;1999;22;0.012283991173323806
43;1999;21;0.013854216790496874
43;1999;20;0.013289192719144308
