# File: NREL_ATB_capital_2023.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2023 ATB
# Units: $2021/kW for 2021-20
# Source: NREL 2023 Annual Technology Baseline for 2021-2050 (https://data.openei.org/submissions/5716
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -------------
tech_type,tech_detail,input,case,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 9,capital,adv tech,3181.838401,3459.042893,3188.415887,2807.364588,2732.852595,2669.853603,2615.281394,2567.145293,2524.086085,2485.134292,2449.574092,2416.861878,2386.575099,2358.378783,2332.00289,2307.226547,2283.86679,2261.770355,2240.807581,2220.867798,2201.855789,2183.689043,2166.295588,2149.612272,2133.583375,2118.159488,2103.296596,2088.955318,2075.100279,2061.699587
Offshore Wind,Class 9,capital,central,3422.256971,3746.326955,3471.83197,3070.563172,3000.583897,2941.417263,2890.164793,2844.956911,2804.517083,2767.934808,2734.537808,2703.815546,2675.371174,2648.890097,2624.118704,2600.849558,2578.910822,2558.158559,2538.470994,2519.744189,2501.888719,2484.827094,2468.491719,2452.823283,2437.769457,2423.283837,2409.325085,2395.856216,2382.844009,2370.258508
Offshore Wind,Class 9,capital,low tech,3865.026752,4293.750815,4023.866393,3591.43206,3536.992777,3490.96502,3451.093963,3415.925198,3384.465665,3356.007057,3330.026383,3306.12648,3283.998625,3263.398086,3244.127568,3226.025699,3208.958803,3192.814904,3177.499271,3162.931046,3149.040662,3135.767838,3123.059988,3110.870974,3099.160085,3087.891223,3077.032231,3066.554335,3056.431691,3046.640998
Offshore Wind,Class 10,capital,adv tech,3269.373401,3554.204017,3276.131839,2884.597505,2808.035625,2743.303479,2687.229943,2637.769579,2593.525776,2553.502387,2516.963896,2483.351743,2452.23175,2423.259729,2396.158214,2370.700254,2346.69785,2323.993524,2302.454047,2281.965703,2262.430658,2243.76413,2225.892168,2208.74988,2192.280014,2176.431804,2161.160021,2146.424202,2132.188,2118.418644
Offshore Wind,Class 10,capital,central,3516.406084,3849.391501,3567.344933,3155.036898,3083.132436,3022.338079,2969.675612,2923.224024,2881.671662,2844.082979,2809.767199,2778.199743,2748.972843,2721.76325,2696.310375,2672.401075,2649.858787,2628.535612,2608.306426,2589.06443,2570.717742,2553.186738,2536.401963,2520.302476,2504.834506,2489.950375,2475.607606,2461.768198,2448.398013,2435.466276
Offshore Wind,Class 10,capital,low tech,3971.356827,4411.875443,4134.566278,3690.23532,3634.298367,3587.004348,3546.036405,3509.900119,3477.575109,3448.33358,3421.638157,3397.080747,3374.344137,3353.17686,3333.376194,3314.776328,3297.239908,3280.651877,3264.914898,3249.945889,3235.67337,3222.035399,3208.977946,3196.453601,3184.420536,3172.841659,3161.683927,3150.917775,3140.516649,3130.456606
Offshore Wind,Class 11,capital,adv tech,3388.831621,3684.06954,3395.837003,2989.996565,2910.637224,2843.539858,2785.417475,2734.1499,2688.289492,2646.803706,2608.930151,2574.089858,2541.832785,2511.802168,2483.710402,2457.322244,2432.442827,2408.908918,2386.582419,2365.345461,2345.096633,2325.748057,2307.223078,2289.454436,2272.382785,2255.955504,2240.125712,2224.851468,2210.095095,2195.822626
Offshore Wind,Class 11,capital,central,3644.890525,3990.042751,3697.690606,3270.317426,3195.785678,3132.769982,3078.183304,3030.034441,2986.963816,2948.001696,2912.432067,2879.711181,2849.416372,2821.212579,2794.829694,2770.046782,2746.680831,2724.578538,2703.610206,2683.665135,2664.648086,2646.476523,2629.078457,2612.390718,2596.357571,2580.929594,2566.062762,2551.717681,2537.858969,2524.454724
Offshore Wind,Class 11,capital,low tech,4116.464516,4573.079051,4285.637406,3825.071231,3767.090423,3718.068348,3675.603495,3638.14684,3604.640721,3574.330749,3546.659913,3521.205211,3497.637838,3475.697138,3455.172985,3435.893506,3417.71633,3400.522197,3384.210211,3368.694255,3353.900239,3339.763956,3326.229402,3313.247436,3300.7747,3288.772748,3277.207328,3266.047796,3255.266628,3244.839005
Offshore Wind,Class 12,capital,adv tech,3425.103707,3723.501681,3432.18407,3021.999752,2941.790995,2873.975457,2815.230966,2763.414653,2717.063382,2675.133556,2636.854625,2601.641421,2569.039087,2538.68704,2510.294596,2483.623995,2458.478283,2434.69248,2412.127011,2390.662745,2370.197186,2350.641514,2331.918255,2313.959427,2296.705051,2280.101941,2264.102717,2248.664986,2233.75067,2219.325437
