# File: A54.globaltranTech_shrwt_revised.csv
# Title: Transportation technology default shareweights
# Source: Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro.
# Units: Unitless
# Column types: cccnnnnnnnnc
# ----------
supplysector,tranSubsector,tranTechnology,1971,2010,2015,2020,2025,2030,2050,2100,sce
trn_freight_road,Medium truck,Hybrid Liquids,0,0,1,1,1,1,1,1,highEV
trn_freight_road,Heavy truck,FCEV,0,0,0,0,0.5,1,1,1,highEV
trn_freight_road,Heavy truck,Hybrid Liquids,0,0,1,1,1,1,1,1,highEV
trn_pass,Domestic Aviation,BEV,0,0,0,0.25,1.375,2.5,2.5,2.5,highEV
trn_pass,Domestic Aviation,Hydrogen,0,0,0,0,0.5,1,1,1,highEV
trn_pass_road,Bus,FCEV,0,0,0,0,0.5,1,1,1,highEV
trn_pass_road,Bus,Hybrid Liquids,0,0,1,1,1,1,1,1,highEV
trn_shipping_intl,International Ship,BEV,0,0,0,0.25,1.375,2.5,2.5,2.5,highEV
trn_shipping_intl,International Ship,FCEV,0,0,0,0,0.5,1,1,1,highEV
trn_shipping_intl,International Ship,Hybrid Liquids,0,0,1,1,1,1,1,1,highEV
