# File: A25.stubtech_cost.csv
# Title: Regional hydrogen non-energy costs
# Units: $1975/GJ
# Source: H2A 2018 (electrolyzer) and ATB (solar panels and wind turbines)
# Comments: Non-energy costs refer to the LCOH for the electrolyzer. Solar panel and wind turbine costs are displayed separately. Electrolyzer capacity factors are based on the renewable they are paired to, and the renewable capacity factors are consistent with GCAMs electricity sector.
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnn 
# ----------
Africa_Northern,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
Africa_Southern,H2 central production,wind,electrolysis,non-energy,7.725854563,7.725854563,7.725854563,7.725854563,7.725854563,6.518147808,5.499229956,4.639589497,3.914328165,3.302439794,2.786201906,2.549532006,2.549532006,2.549532006,2.549532006,2.549532006,2.549532006,2.549532006,2.549532006,2.549532006,2.549532006,2.549532006
Africa_Western,H2 central production,wind,electrolysis,non-energy,6.27024487,6.27024487,6.27024487,6.27024487,6.27024487,5.293328743,4.468618014,3.772398792,3.184651855,2.688477013,2.26960716,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807
Argentina,H2 central production,wind,electrolysis,non-energy,5.857822123,5.857822123,5.857822123,5.857822123,5.857822123,4.946294763,4.176608878,3.526692717,2.977909085,2.514520892,2.123239876,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301
Australia_NZ,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
Brazil,H2 central production,wind,electrolysis,non-energy,6.27024487,6.27024487,6.27024487,6.27024487,6.27024487,5.293328743,4.468618014,3.772398792,3.184651855,2.688477013,2.26960716,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807,2.069180807
Canada,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
Central America and Caribbean,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
Central Asia,H2 central production,wind,electrolysis,non-energy,6.12637647,6.12637647,6.12637647,6.12637647,6.12637647,5.172270498,4.366754515,3.6866875,3.112532357,2.627794646,2.218548727,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235
China,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
