# File: OTAQ_trn_data_DECARB_high_elec.csv
# Title: OTAQ-specific assumptions to layer into UCD_trn_data_CORE.csv database
# Units: Various
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnn
# Source: 2021.10.05 Vehicle tables.xlsx workbook. BEV 3-wheeler data from UCD_trn_data_CORE file of CMP 316
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (other),2005$/veh,NA,NA,NA,9340.224055,8089.23637,6838.248684,6838.248684,6719.679466,6601.110248,6482.541031,6466.419355,6450.297679,6434.176004,6418.054328,6401.932653,6385.810977,6369.689301,6353.567626,6337.44595,6337.44595
Africa,Passenger,LDV_4W,Compact Car,Hybrid Liquids,Liquids,Capital costs (other),2005$/veh,NA,NA,NA,5285.768202,5366.225685,5446.683168,5446.683168,5504.198881,5561.714594,5619.230308,5595.320804,5571.4113,5547.501796,5523.592292,5499.682788,5475.773284,5451.863779,5427.954275,5404.044771,5404.044771
Africa,Passenger,LDV_4W,Mini Car,BEV,Electricity,Capital costs (other),2005$/veh,NA,NA,NA,2515.33799,2202.532239,1889.726489,1889.726489,1912.047248,1934.368007,1956.688766,1956.688766,1956.688766,1956.688766,1956.688766,1956.688766,1956.688766,1956.688766,1956.688766,1956.688766,1956.688766
Africa,Passenger,LDV_4W,Mini Car,FCEV,Hydrogen,Capital costs (other),2005$/veh,NA,NA,NA,4560.568672,3859.451699,3158.334726,3158.334726,3076.701651,2995.068577,2913.435503,2902.15033,2890.865157,2879.579984,2868.294811,2857.009638,2845.724465,2834.439292,2823.154119,2811.868946,2811.868946
Africa,Passenger,LDV_4W,Mini Car,Hybrid Liquids,Liquids,Capital costs (other),2005$/veh,NA,NA,NA,1946.263828,1958.739718,1971.215609,1971.215609,1980.785565,1990.35552,1999.925476,1983.188823,1966.452171,1949.715518,1932.978865,1916.242212,1899.505559,1882.768907,1866.032254,1849.295601,1849.295601
Africa,Passenger,LDV_4W,Multipurpose Vehicle,BEV,Electricity,Capital costs (other),2005$/veh,NA,NA,NA,9118.774562,8055.980647,6993.186732,6993.186732,7078.218195,7163.249657,7248.28112,7248.28112,7248.28112,7248.28112,7248.28112,7248.28112,7248.28112,7248.28112,7248.28112,7248.28112,7248.28112
Africa,Passenger,LDV_4W,Multipurpose Vehicle,FCEV,Hydrogen,Capital costs (other),2005$/veh,NA,NA,NA,13312.37678,11530.37328,9748.369782,9748.369782,9565.631838,9382.893894,9200.155949,9173.555184,9146.95442,9120.353655,9093.75289,9067.152125,9040.551361,9013.950596,8987.349831,8960.749066,8960.749066
Africa,Passenger,LDV_4W,Multipurpose Vehicle,Hybrid Liquids,Liquids,Capital costs (other),2005$/veh,NA,NA,NA,6770.891446,6854.880641,6938.869835,6938.869835,6999.634806,7060.399776,7121.164747,7081.714065,7042.263384,7002.812702,6963.36202,6923.911339,6884.460657,6845.009975,6805.559294,6766.108612,6766.108612
Africa,Passenger,LDV_4W,Subcompact Car,BEV,Electricity,Capital costs (other),2005$/veh,NA,NA,NA,4868.860534,4223.821993,3578.783453,3578.783453,3619.704844,3660.626236,3701.547627,3701.547627,3701.547627,3701.547627,3701.547627,3701.547627,3701.547627,3701.547627,3701.547627,3701.547627,3701.547627
Africa,Passenger,LDV_4W,Subcompact Car,FCEV,Hydrogen,Capital costs (other),2005$/veh,NA,NA,NA,7730.699945,6439.474156,5148.248368,5148.248368,5001.512478,4854.776588,4708.040699,4691.919023,4675.797347,4659.675672,4643.553996,4627.432321,4611.310645,4595.188969,4579.067294,4562.945618,4562.945618
